League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
bundesliga,Arminia Bielefeld,Borussia Dortmund,"['26' Yellow_Home - Brunner C.(Podcięcie)', '53' Goal_Away - Hummels M.(Meunier T.)', '63' Yellow_Away - Delaney T.(Podcięcie)', '71' Goal_Away - Hummels M.(Reus M.)']",6,31.10.2020,15:30,0.0,2.0,0.0,0.0,Away,9.0,5.5,1.38,1.38,False,False,False,False,False,False,False,False,2.0,3.0,-1.0,32%,68%,5.0,21.0,2.0,10.0,66.0,184.0,11.0,67.0,3.0,11.0,,,16.0,15.0,0.0,12.0,2.0,4.0,15.0,26.0,8.0,2.0,12.0,13.0,1.0,1.0,https://www.flashscore.com/match/rNbXBQAM/#/match-summary/match-summary
ligue-2,Guingamp,Amiens,"['32' Yellow_Away - Lachuer M.', '36' Yellow_Home - Riou M.', '41' Goal_Away - Papeau J.(Ciss A.)', '41' Yellow_Home - Pierrot F.', '56' Yellow_Away - Lomotey E.', '56' Yellow_Home - Roux B.', '71' Goal_Away - Lahne J.(Lusamba A.)']",4,14.08.2021,19:00,0.0,2.0,0.0,1.0,Away,1.93,3.15,4.25,4.25,False,False,False,False,False,False,False,False,0.0,0.0,0.0,64%,36%,13.0,9.0,5.0,2.0,140.0,95.0,128.0,73.0,7.0,3.0,1.0,4.0,,,16.0,4.0,2.0,1.0,,,0.0,5.0,17.0,14.0,3.0,2.0,https://www.flashscore.com/match/nuyGrAI9/#/match-summary/match-summary
premier-league,Southampton,Norwich,"['22' Goal_Home - Ings D.(Ward-Prowse J.)', '43' Goal_Home - Bertrand R.(Long S.)', '59' Yellow_Home - Djenepo M.(Nadmierna ostrość)', '62' Yellow_Away - Byram S.(Nadmierna ostrość)', '65' Goal_Away - Pukki T.(Tettey A.)']",15,04.12.2019,20:30,2.0,1.0,2.0,0.0,Home,1.87,3.9,4.25,1.87,True,False,False,False,False,False,False,False,1.0,3.0,-2.0,40%,60%,14.0,10.0,5.0,3.0,140.0,104.0,59.0,35.0,5.0,5.0,4.0,2.0,8.0,15.0,6.0,1.0,3.0,1.0,,,2.0,3.0,12.0,7.0,1.0,1.0,https://www.flashscore.com/match/GAVN14iH/#/match-summary/match-summary
fortuna-1-liga,Stomil Olsztyn,GKS Katowice,"['68' Penalty_Missed_Home - Mikita P.()', '71' Yellow_Away - Wozniak A.', '84' Goal_Away - Szymczak F.', '90+2' Yellow_Home - Mikita P.', '90+4' Yellow_Home - Spychała M.', '90+5' Yellow_Away - Blad A.', '90+5' Yellow_Home - Zwir K.', '90+7' Yellow_Away - Kolodziejski M.']",28,19.04.2022,20:30,0.0,1.0,0.0,0.0,Away,2.86,3.25,2.6,2.6,False,False,False,False,False,False,False,False,0.0,0.0,0.0,44%,56%,7.0,17.0,2.0,7.0,73.0,84.0,55.0,57.0,5.0,9.0,0.0,1.0,18.0,6.0,6.0,4.0,0.0,2.0,,,6.0,2.0,6.0,17.0,3.0,3.0,https://www.flashscore.com/match/OOjIG13J/#/match-summary/match-summary
league-two,Mansfield,Harrogate,"['03' Goal_Home - Oates R.(McLaughlin S.)', '05' Goal_Away - Armstrong L.(Thomson G.)', '09' Yellow_Home - Nartey R.', '36' Yellow_Home - Gordon K.', '38' Yellow_Home - Lapslie G.', '41' Yellow_Away - Page L.', '45+2' Goal_Away - Muldoon J.(Armstrong L.)', '66' Yellow_Away - Burrell W.', '70' Yellow_Away - Falkingham J.', '73' Red_Card_Home - Clarke O.', '74' Red_Card_Home - Quinn S.', '81' Goal_Away - Thomson G.(Page L.)', '88' Yellow_Away - Diamond J.', '90+5' Yellow_Home - Maris G.']",6,04.09.2021,16:00,1.0,3.0,1.0,2.0,Away,1.98,3.3,3.65,3.65,True,True,True,True,False,True,False,False,0.0,0.0,0.0,47%,53%,11.0,14.0,2.0,8.0,89.0,111.0,46.0,53.0,7.0,2.0,2.0,4.0,11.0,14.0,7.0,9.0,1.0,3.0,26.0,26.0,5.0,1.0,15.0,9.0,4.0,4.0,https://www.flashscore.com/match/hna0sBz3/#/match-summary/match-summary
serie-a,Bologna,Juventus,"['06' Goal_Away - Chiesa F.', '29' Goal_Away - Morata A.(Dybala P.)', '37' Yellow_Away - Morata A.(Podcięcie)', '44' Yellow_Home - Medel G.(Przytrzymywanie)', '45' Goal_Away - Rabiot A.(Kulusevski D.)', '47' Goal_Away - Morata A.(Szczęsny W.)', '66' Yellow_Away - McKennie W.(Przytrzymywanie)', '85' Goal_Home - Orsolini R.(Palacio R.)']",38,23.05.2021,20:45,1.0,4.0,0.0,4.0,Away,9.1,6.62,1.28,1.28,True,True,False,True,False,True,False,False,5.0,1.0,4.0,44%,56%,18.0,19.0,5.0,11.0,92.0,92.0,45.0,55.0,8.0,5.0,5.0,3.0,18.0,9.0,3.0,0.0,3.0,1.0,,,7.0,4.0,7.0,16.0,1.0,2.0,https://www.flashscore.com/match/h8jCJWgN/#/match-summary/match-summary
league-one,Plymouth,Lincoln,"['34' Goal_Home - Jephcott L.(Ennis N.)', '51' Goal_Away - Marquis J.(Scully A.)', '62' Yellow_Away - Bramall C.', '82' Yellow_Away - Bishop T.', '88' Yellow_Away - Cullen L.', '90+2' Goal_Away - Melbourne M.(Poole R.)', '90+4' Yellow_Away - McGrandles C.', '90+4' Yellow_Home - Garrick J.']",29,22.01.2022,16:00,1.0,2.0,1.0,0.0,Away,2.08,3.4,3.4,3.4,True,False,False,False,False,False,False,True,0.0,0.0,0.0,55%,45%,18.0,18.0,8.0,5.0,130.0,85.0,55.0,33.0,5.0,4.0,5.0,9.0,11.0,11.0,6.0,3.0,2.0,3.0,39.0,31.0,3.0,7.0,10.0,12.0,1.0,4.0,https://www.flashscore.com/match/IaaMABM0/#/match-summary/match-summary
championship,Derby,Blackpool,"['42' Yellow_Away - Carey S.', '51' Goal_Home - Plange L.', '54' Yellow_Away - Anderson K.', '54' Yellow_Home - Jóźwiak K.', '76' Yellow_Home - Lawrence T.']",22,11.12.2021,16:00,1.0,0.0,0.0,0.0,Home,2.55,3.05,3.15,2.55,False,False,False,False,False,False,False,False,4.0,6.0,-2.0,52%,48%,10.0,6.0,2.0,2.0,125.0,94.0,42.0,32.0,4.0,3.0,4.0,1.0,12.0,18.0,6.0,2.0,4.0,2.0,29.0,26.0,2.0,1.0,13.0,10.0,2.0,2.0,https://www.flashscore.com/match/nyRvdnJM/#/match-summary/match-summary
bundesliga,1. FSV Mainz 05,VfL Wolfsburg,"['02' Goal_Home - Burkardt J.(Barreiro L.)', '04' Goal_Home - Stach A.(Lee Jae-Sung)', '78' Yellow_Home - Barreiro L.(Nadmierna ostrość)', '82' Yellow_Away - Mbabu K.(Podcięcie)', '90' Own_Home - Lacroix M.()']",14,04.12.2021,15:30,3.0,0.0,2.0,0.0,Home,2.24,3.45,3.35,2.24,True,False,True,False,False,False,False,False,3.0,4.0,-1.0,44%,56%,12.0,16.0,5.0,0.0,96.0,90.0,49.0,46.0,7.0,16.0,,,10.0,20.0,6.0,5.0,3.0,1.0,33.0,26.0,0.0,2.0,18.0,10.0,1.0,1.0,https://www.flashscore.com/match/fDdvSfP8/#/match-summary/match-summary
league-two,Newport,Tranmere,"['48' Yellow_Away - Warrington L.', '49' Goal_Home - Lewis A.(Telford D.)', '53' Yellow_Away - MacDonald C.', '57' Goal_Home - Penalty Telford D.(Penalty )', '65' Goal_Away - Cogley J.(Hemmings K.)', '84' Own_Away - Demetriou M.()', '87' Goal_Home - Azaz F.', '90+1' Goal_Home - Telford D.']",34,26.02.2022,16:00,4.0,2.0,0.0,0.0,Home,2.13,3.1,3.6,2.13,True,True,False,False,True,False,True,False,0.0,0.0,0.0,52%,48%,17.0,6.0,10.0,2.0,96.0,88.0,50.0,40.0,4.0,2.0,3.0,2.0,12.0,11.0,8.0,1.0,2.0,1.0,27.0,29.0,1.0,6.0,10.0,15.0,0.0,2.0,https://www.flashscore.com/match/AVcJRPTs/#/match-summary/match-summary
