League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
jupiler-league,Charleroi,Gent,"['43' Yellow_Away - Lemajic D.', '45' Goal_Home - Penalty Zorgane A.(Penalty )', '53' Goal_Away - Lemajic D.(Godeau B.)', '53' Yellow_Home - Nkuba K.', '61' Goal_Away - Lemajic D.', '67' Goal_Away - Ngadeu M.(Kums S.)', '90+1' Yellow_Home - Knezevic S.']",Conference League Group,30.04.2022,18:30,1.0,3.0,2.0,0.0,Away,3.25,3.45,2.25,2.25,True,True,False,False,True,False,False,False,6.0,6.0,0.0,45%,55%,12.0,13.0,8.0,5.0,107.0,106.0,48.0,50.0,2.0,6.0,2.0,2.0,8.0,11.0,6.0,4.0,1.0,2.0,19.0,28.0,2.0,7.0,12.0,9.0,2.0,1.0,https://www.flashscore.com/match/0hzAUfZF/#/match-summary/match-summary
laliga,Celta Vigo,Villarreal,"['17' Yellow_Home - Mina S.(Podcięcie)', '27' Goal_Away - Moreno A.(Parejo D.)', '45' Yellow_Away - Foyth J.(Nadmierna ostrość)', '72' Goal_Home - Mendez B.']",14,20.11.2021,14:00,1.0,1.0,0.0,1.0,Draw,2.55,3.3,2.93,3.3,False,False,False,False,False,False,False,False,2.0,1.0,1.0,57%,43%,12.0,18.0,3.0,6.0,120.0,120.0,48.0,56.0,7.0,9.0,2.0,3.0,17.0,20.0,3.0,5.0,6.0,0.0,33.0,32.0,5.0,2.0,14.0,17.0,1.0,1.0,https://www.flashscore.com/match/A9UvGxlR/#/match-summary/match-summary
premier-league,Norwich,Bournemouth,"['31' Red_Card_Away - Cook S.(Zagranie ręką)', '33' Goal_Home - Pukki T.(Penalty )', '50' Yellow_Home - Buendia E.(Nadmierna ostrość)', '76' Red_Card_Home - Godfrey B.(Podcięcie)', '77' Yellow_Away - Wilson C.(Niesportowe zachowanie)', '77' Yellow_Home - Krul T.(Niesportowe zachowanie)', '90+5' Yellow_Away - Smith A.(Podcięcie)']",23,18.01.2020,16:00,1.0,0.0,1.0,0.0,Home,2.32,3.55,3.2,2.32,False,False,False,False,False,False,False,False,1.0,8.0,-7.0,66%,34%,16.0,6.0,5.0,3.0,130.0,103.0,54.0,37.0,5.0,1.0,6.0,2.0,12.0,10.0,4.0,5.0,0.0,3.0,,,3.0,4.0,10.0,10.0,2.0,2.0,https://www.flashscore.com/match/lYvOCO0B/#/match-summary/match-summary
ligue-2,Dunkerque,Quevilly Rouen,"['05' Yellow_Home - Sy H.', '07' Goal_Away - Penalty Haddad M.(Penalty )', '19' Yellow_Home - Ouadah M.', '31' Goal_Home - Gomis A.(Sy H.)', '61' Yellow_Home - Dudouit E.', '78' Yellow_Away - Bahassa Y.']",1,24.07.2021,19:00,1.0,1.0,1.0,1.0,Draw,1.85,3.25,4.4,3.25,False,False,False,True,False,False,False,False,0.0,0.0,0.0,60%,40%,7.0,5.0,3.0,3.0,101.0,87.0,62.0,49.0,3.0,1.0,1.0,1.0,37.0,23.0,6.0,5.0,1.0,0.0,34.0,31.0,2.0,2.0,18.0,27.0,3.0,1.0,https://www.flashscore.com/match/bBQ4zOlG/#/match-summary/match-summary
premier-league,Arsenal,Brighton,"['49' Goal_Home - Pepe N.(Chambers C.)', '60' Goal_Home - Pepe N.(Odegaard M.)']",38,23.05.2021,17:00,2.0,0.0,0.0,0.0,Home,1.75,4.25,4.55,1.75,False,False,False,False,True,False,False,False,3.0,6.0,-3.0,54%,46%,16.0,5.0,5.0,1.0,100.0,66.0,68.0,37.0,7.0,3.0,4.0,1.0,9.0,12.0,11.0,3.0,2.0,1.0,14.0,5.0,1.0,3.0,10.0,8.0,,,https://www.flashscore.com/match/2qsbaz5A/#/match-summary/match-summary
serie-a,Torino,AC Milan,"['19' Goal_Away - Hernandez T.(Diaz B.)', '26' Goal_Away - Kessie F.(Penalty )', '41' Yellow_Away - Bennacer I.(Podcięcie)', '44' Yellow_Home - Baselli D.(Przytrzymywanie)', '48' Yellow_Home - Linetty K.(Faul)', '50' Goal_Away - Diaz B.(Kessie F.)', '62' Goal_Away - Hernandez T.(Rebic A.)', '67' Goal_Away - Rebic A.(Krunic R.)', '72' Goal_Away - Rebic A.(Leao R.)', '79' Goal_Away - Rebic A.(Krunic R.)']",36,12.05.2021,20:45,0.0,7.0,0.0,2.0,Away,4.65,4.15,1.75,1.75,True,True,False,False,False,True,False,False,4.0,3.0,1.0,45%,55%,14.0,14.0,1.0,11.0,108.0,85.0,36.0,29.0,10.0,2.0,3.0,1.0,18.0,14.0,2.0,3.0,1.0,2.0,,,4.0,1.0,15.0,16.0,2.0,1.0,https://www.flashscore.com/match/re2igztI/#/match-summary/match-summary
league-two,Cheltenham,Carlisle,"['33' Goal_Away - Kayode J.(Guy C.)', '56' Goal_Home - Hussey C.', '72' Yellow_Away - Hayden A.', '87' Yellow_Away - Mellish J.', '90+4' Yellow_Away - Anderton N.']",28,27.04.2021,20:00,1.0,1.0,0.0,1.0,Draw,2.0,3.25,3.85,3.25,False,False,False,False,False,False,False,False,0.0,0.0,0.0,52%,48%,9.0,12.0,2.0,2.0,88.0,99.0,49.0,45.0,3.0,5.0,4.0,5.0,16.0,20.0,2.0,7.0,8.0,3.0,23.0,25.0,1.0,1.0,13.0,13.0,0.0,3.0,https://www.flashscore.com/match/QiTfvo6o/#/match-summary/match-summary
serie-a,Verona,Cagliari,"['09' Var_Home', '21' Goal_Home - Zaccagni M.(Faraoni D.)', '22' Yellow_Home - Ceccherini F.(Nadmierna ostrość)', '48' Goal_Away - Marin R.(Pavoletti L.)', '81' Yellow_Home - Salcedo E.(Podcięcie)']",10,06.12.2020,12:30,1.0,1.0,1.0,0.0,Draw,1.8,3.92,4.45,3.92,False,False,False,False,False,True,False,False,4.0,6.0,-2.0,49%,51%,12.0,9.0,6.0,5.0,93.0,127.0,52.0,59.0,6.0,4.0,,,14.0,14.0,7.0,5.0,3.0,0.0,,,4.0,5.0,11.0,14.0,2.0,0.0,https://www.flashscore.com/match/pWrZwFbs/#/match-summary/match-summary
serie-a,Cagliari,Parma,"['19' Goal_Home - Joao Pedro(Simeone G.)', '34' Yellow_Away - Darmian M.(Symulowanie)', '42' Goal_Away - Kucka J.(Brugman G.)', '52' Yellow_Away - Gagliolo R.(Faul)', '53' Penalty_Missed_Home - Joao Pedro()', '54' Goal_Home - Simeone G.(Pellegrini Lu.)', '69' Yellow_Home - Cigarini L.(Nadmierna ostrość)', '77' Yellow_Home - Nandez N.(Nadmierna ostrość)', '87' Yellow_Home - Nainggolan R.(Podcięcie)', '90+4' Goal_Away - Cornelius A.(Kurtic J.)']",22,01.02.2020,18:00,2.0,2.0,1.0,1.0,Draw,1.82,3.75,4.75,3.75,True,True,False,False,False,False,False,True,4.0,6.0,-2.0,56%,44%,21.0,17.0,11.0,5.0,91.0,113.0,34.0,48.0,5.0,7.0,5.0,5.0,13.0,19.0,8.0,7.0,2.0,0.0,,,3.0,9.0,12.0,15.0,3.0,2.0,https://www.flashscore.com/match/fD4aYKHs/#/match-summary/match-summary
premier-league,Wolves,Newcastle,"['20' Goal_Home - Hwang Hee-Chan(Jimenez R.)', '41' Goal_Away - Hendrick J.(Manquillo J.)', '44' Yellow_Home - Lage B.(Poza boiskiem)', '56' Yellow_Away - Clark C.(Podcięcie)', '58' Goal_Home - Hwang Hee-Chan(Jimenez R.)', '60' Yellow_Away - Manquillo J.']",7,02.10.2021,16:00,2.0,1.0,1.0,1.0,Home,1.72,4.0,5.1,1.72,True,False,False,False,False,False,False,False,4.0,6.0,-2.0,52%,48%,7.0,8.0,3.0,2.0,86.0,134.0,30.0,52.0,3.0,3.0,1.0,3.0,6.0,15.0,0.0,4.0,2.0,1.0,23.0,27.0,1.0,1.0,15.0,5.0,0.0,2.0,https://www.flashscore.com/match/QVgP48CU/#/match-summary/match-summary
super-lig,Basaksehir,Konyaspor,"['10' Yellow_Away - Hadziahmetovic A.', '18' Yellow_Home - Cigerci T.', '37' Goal_Away - Bytyqi Z.(Dikmen S.)', '45+1' Yellow_Home - Kaldirim H. A.', '49' Goal_Home - Gulbrandsen F.(Sahiner O.)', '62' Own_Home - Cagiran M.()']",21,22.02.2022,18:00,2.0,1.0,0.0,1.0,Home,2.05,3.25,3.75,2.05,True,False,False,False,True,False,False,False,6.0,2.0,4.0,45%,55%,13.0,12.0,4.0,4.0,66.0,78.0,61.0,69.0,6.0,5.0,3.0,3.0,,,2.0,3.0,4.0,1.0,,,3.0,2.0,11.0,11.0,2.0,1.0,https://www.flashscore.com/match/tAvaZemM/#/match-summary/match-summary
ligue-1,Rennes,PSG,"['45+4' Yellow_Home - Aguerd N.(Nadmierna ostrość)', '45+5' Goal_Away - Neymar(Penalty )', '57' Yellow_Away - Herrera A.(Podcięcie)', '70' Goal_Home - Guirassy S.(Bourigeaud B.)', '80' Yellow_Home - Diouf A.(Nadmierna ostrość)', '87' Red_Card_Away - Kimpembe P.(Podcięcie)', '89' Yellow_Home - del Castillo R.(Poza boiskiem, Niesportowe zachowanie)', '90+1' Yellow_Home - Tait F.(Podcięcie)']",36,09.05.2021,21:00,1.0,1.0,0.0,1.0,Draw,6.4,4.15,1.59,4.15,False,False,False,False,False,True,False,False,4.0,4.0,0.0,42%,58%,19.0,12.0,10.0,4.0,85.0,105.0,49.0,63.0,6.0,7.0,3.0,1.0,16.0,17.0,9.0,3.0,4.0,2.0,18.0,15.0,3.0,9.0,12.0,11.0,4.0,1.0,https://www.flashscore.com/match/x8lIbgvN/#/match-summary/match-summary
ligue-1,Lille,St. Etienne,"['65' Yellow_Home - Botman S.(Faul)', '81' Yellow_Away - Moukoudi H.(Podcięcie)']",28,11.03.2022,21:00,0.0,0.0,0.0,0.0,Draw,1.76,3.6,5.5,3.6,False,False,False,False,False,False,False,False,0.0,5.0,-5.0,51%,49%,10.0,11.0,2.0,3.0,113.0,108.0,35.0,25.0,4.0,4.0,4.0,4.0,12.0,19.0,2.0,3.0,5.0,0.0,23.0,18.0,3.0,2.0,14.0,12.0,1.0,1.0,https://www.flashscore.com/match/EVjBjXCA/#/match-summary/match-summary
bundesliga,Bayern Monachium,1. FC Koeln,"['18' Goal_Home - Choupo-Moting M.(Goretzka L.)', '22' Yellow_Home - Alaba D.(Nadmierna ostrość)', '33' Goal_Home - Lewandowski R.(Goretzka L.)', '45' Yellow_Away - FaulCzichos R.(Faul)', '45+1' Yellow_Home - Sane L.(Faul)', '49' Goal_Away - Skhiri E.', '65' Goal_Home - Lewandowski R.(Mueller T.)', '82' Goal_Home - Gnabry S.(Hernandez L.)', '86' Goal_Home - Gnabry S.(Goretzka L.)']",23,27.02.2021,15:30,5.0,1.0,2.0,0.0,Home,1.16,7.5,15.8,1.16,True,True,False,False,False,True,False,False,6.0,4.0,2.0,54%,46%,15.0,6.0,7.0,3.0,124.0,87.0,90.0,58.0,8.0,3.0,,,12.0,8.0,4.0,4.0,1.0,2.0,25.0,22.0,2.0,2.0,7.0,9.0,2.0,1.0,https://www.flashscore.com/match/rkL2iT3J/#/match-summary/match-summary
laliga2,Mirandes,UD Ibiza,"['19' Yellow_Away - Diop P.', '21' Goal_Home - Riquelme R.(Carreira S.)', '34' Goal_Home - Riquelme R.(Vicente I.)', '39' Yellow_Home - Camello S.', '48' Yellow_Home - Lopez A.', '63' Yellow_Away - Zenitagoia Arana E.', '64' Goal_Home - Meseguer Cavas V. A.(Riquelme R.)', '74' Goal_Home - Garrido J. A.(Garcia I.)', '81' Yellow_Home - Rey O.', '83' Yellow_Home - Garrido J. A.']",40,15.05.2022,16:00,4.0,0.0,2.0,0.0,Home,1.81,3.75,4.4,1.81,True,True,False,False,False,False,False,False,0.0,0.0,0.0,43%,57%,12.0,13.0,5.0,4.0,80.0,83.0,43.0,46.0,5.0,6.0,2.0,3.0,11.0,16.0,8.0,3.0,5.0,1.0,31.0,17.0,4.0,1.0,11.0,10.0,4.0,2.0,https://www.flashscore.com/match/KUWnanoh/#/match-summary/match-summary
ligue-2,Le Havre,Nimes,"['35' Yellow_Away - Fomba L.', '45+1' Goal_Away - Penalty Benrahou Y.(Penalty )', '75' Yellow_Away - Guessoum K.']",28,12.03.2022,19:00,0.0,1.0,0.0,1.0,Away,2.06,3.15,3.85,3.85,False,False,False,False,False,True,False,False,0.0,0.0,0.0,66%,34%,21.0,3.0,11.0,2.0,122.0,75.0,109.0,51.0,6.0,1.0,4.0,0.0,,,6.0,1.0,0.0,2.0,,,1.0,11.0,10.0,17.0,0.0,2.0,https://www.flashscore.com/match/Ono5VdTG/#/match-summary/match-summary
eredivisie,Ajax,Willem II,"['15' Goal_Home - Antony(Alvarez E.)', '18' Goal_Home - Martinez L.', '23' Goal_Home - Antony(Haller S.)', '27' Var_Home', '56' Yellow_Away - Saddiki D.(Nadmierna ostrość)', '71' Goal_Home - Klaassen D.(Gravenberch R.)', '76' Goal_Home - Danilo(Rensch D.)', '89' Yellow_Away - Yeboah J.(Przytrzymywanie)']",15,02.12.2021,21:00,5.0,0.0,3.0,0.0,Home,1.09,11.5,23.0,1.09,True,True,True,False,False,False,False,False,3.0,4.0,-1.0,74%,26%,21.0,3.0,9.0,0.0,158.0,78.0,143.0,32.0,9.0,2.0,3.0,1.0,9.0,6.0,8.0,1.0,4.0,1.0,19.0,15.0,0.0,4.0,2.0,8.0,0.0,2.0,https://www.flashscore.com/match/tvUtRcbD/#/match-summary/match-summary
jupiler-league,Gent,St. Liege,"['07' Goal_Home - Malede Y.(Kums S.)', '40' Yellow_Home - Ngadeu-Ngadjui M.', '49' Yellow_Away - Lestienne M.', '66' Yellow_Home - Castro-Montes A.', '70' Yellow_Away - Balikwisha M.', '90+4' Goal_Home - Yaremchuk R.(Tissoudali T.)']",Conference League Group,19.05.2021,21:00,2.0,0.0,1.0,0.0,Home,1.48,4.75,6.4,1.48,False,False,True,False,False,False,True,False,6.0,9.0,-3.0,53%,47%,14.0,11.0,6.0,1.0,82.0,72.0,53.0,50.0,4.0,3.0,4.0,7.0,,,3.0,8.0,0.0,0.0,,,1.0,4.0,12.0,10.0,2.0,2.0,https://www.flashscore.com/match/pQBL2i6T/#/match-summary/match-summary
league-one,Crewe,Portsmouth,"['20' Yellow_Home - Lowery T.', '28' Yellow_Away - Raggett S.', '45+4' Yellow_Home - Offord L.', '49' Yellow_Away - Williams R.', '59' Penalty_Missed_Away - Marquis J.()', '77' Yellow_Away - Johnson C.']",29,13.04.2021,19:00,0.0,0.0,0.0,0.0,Draw,3.2,3.3,2.22,3.3,False,False,False,False,False,False,False,False,0.0,0.0,0.0,39%,61%,9.0,12.0,1.0,5.0,103.0,130.0,44.0,49.0,4.0,7.0,4.0,0.0,14.0,20.0,2.0,6.0,1.0,5.0,17.0,30.0,5.0,1.0,18.0,9.0,2.0,3.0,https://www.flashscore.com/match/zcTG181P/#/match-summary/match-summary
laliga,Granada,Alaves,"['07' Goal_Home - Soldado R.(Machis D.)', '22' Goal_Away - Joselu', '24' Yellow_Away - Mendez E.(Podcięcie)', '26' Yellow_Away - Battaglia R.(Uderzenie łokciem)', '49' Yellow_Away - Lejeune F.(Nadmierna ostrość)', '79' Goal_Home - Machis D.']",2,20.09.2020,18:30,2.0,1.0,1.0,1.0,Home,2.4,2.8,3.9,2.4,True,False,True,False,False,False,False,False,1.0,2.0,-1.0,56%,44%,10.0,5.0,3.0,3.0,90.0,93.0,52.0,33.0,5.0,0.0,2.0,2.0,13.0,14.0,4.0,4.0,5.0,0.0,,,2.0,1.0,9.0,12.0,0.0,3.0,https://www.flashscore.com/match/lbvPMyjt/#/match-summary/match-summary
league-one,Cheltenham,Gillingham FC,"['14' Goal_Away - Oliver V.(McKenzie R.)', '40' Goal_Home - Wright C.', '57' Yellow_Home - Hutchinson R.', '59' Goal_Away - Reeves B.', '78' Goal_Home - Etete K.(Long S.)', '85' Yellow_Home - Long S.', '88' Yellow_Away - Oliver V.']",43,15.04.2022,16:00,2.0,2.0,1.0,1.0,Draw,2.18,3.2,3.35,3.2,True,True,False,True,False,False,False,False,0.0,0.0,0.0,63%,37%,18.0,12.0,10.0,6.0,74.0,62.0,37.0,41.0,3.0,3.0,5.0,3.0,17.0,13.0,5.0,5.0,1.0,3.0,23.0,26.0,4.0,8.0,15.0,15.0,2.0,1.0,https://www.flashscore.com/match/Iqq7W123/#/match-summary/match-summary
league-one,Wimbledon,Cheltenham,"['08' Goal_Home - Assal A.(Rudoni J.)', '16' Yellow_Away - Sercombe L.', '26' Yellow_Away - Raglan C.', '31' Goal_Away - May A.(Etete K.)', '34' Goal_Away - Penalty May A.(Penalty )', '45+2' Yellow_Home - Brown L.', '61' Yellow_Home - Marsh G.', '66' Yellow_Away - Hutchinson R.', '80' Goal_Home - Cosgrave A.', '90+6' Yellow_Home - Cosgrave A.']",17,01.02.2022,20:45,2.0,2.0,1.0,2.0,Draw,2.32,3.05,3.2,3.05,True,True,True,False,False,False,False,False,0.0,0.0,0.0,61%,39%,15.0,10.0,6.0,4.0,126.0,92.0,49.0,34.0,4.0,4.0,5.0,2.0,13.0,7.0,5.0,2.0,2.0,0.0,34.0,9.0,2.0,4.0,7.0,13.0,3.0,3.0,https://www.flashscore.com/match/0S00ugiB/#/match-summary/match-summary
laliga2,Almeria,Cartagena,"['35' Yellow_Away - Boateng R.', '36' Yellow_Away - Silva G.', '39' Goal_Away - Silva G.(Gallar A.)', '40' Yellow_Away - Cayarga A.', '50' Yellow_Away - Alcala P.', '64' Yellow_Away - De Blasis P.', '90+3' Red_Card_Away - Gil I.']",22,02.01.2022,14:00,0.0,1.0,0.0,1.0,Away,1.81,3.6,4.3,4.3,False,False,False,False,False,False,False,False,0.0,0.0,0.0,45%,55%,17.0,10.0,2.0,1.0,129.0,91.0,62.0,33.0,10.0,3.0,5.0,6.0,,,4.0,3.0,2.0,5.0,,,0.0,2.0,14.0,17.0,0.0,5.0,https://www.flashscore.com/match/lSJSwlpP/#/match-summary/match-summary
