League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
jupiler-league,Kortrijk,Antwerp,"['61' Yellow_Home - D', '74' Yellow_Home - Tuta', '84' Goal_Away - Refaelov L.', '87' Yellow_Home - Gueye P.']",29,07.03.2020,20:00,0.0,1.0,0.0,0.0,Away,2.91,3.6,2.35,2.35,False,False,False,False,False,False,False,False,3.0,6.0,-3.0,40%,60%,10.0,12.0,4.0,5.0,82.0,96.0,71.0,77.0,6.0,7.0,,,12.0,18.0,6.0,7.0,1.0,0.0,24.0,23.0,4.0,4.0,17.0,12.0,3.0,0.0,https://www.flashscore.com/match/Uq2Gg2d0/#/match-summary/match-summary
laliga2,UD Ibiza,Ponferradina,"['15' Yellow_Away - Pascanu A.', '31' Yellow_Home - Parreno G.', '33' Goal_Away - Penalty Naranjo J.(Penalty )', '40' Yellow_Home - Perez Mateo J.', '49' Yellow_Away - Espiau Hernandez E. D.', '67' Yellow_Away - Ojeda D.', '86' Yellow_Home - Morillas D.']",18,28.11.2021,16:00,0.0,1.0,0.0,1.0,Away,2.14,3.05,3.8,3.8,False,False,False,False,False,False,False,False,0.0,0.0,0.0,64%,36%,9.0,14.0,2.0,2.0,130.0,78.0,62.0,43.0,6.0,8.0,1.0,4.0,,,7.0,5.0,1.0,3.0,,,1.0,2.0,13.0,12.0,3.0,3.0,https://www.flashscore.com/match/2k4nIf0i/#/match-summary/match-summary
league-two,Cheltenham,Bolton,"['80' Yellow_Home - Sang T.', '90+1' Goal_Away - Delaney R.(Santos R.)', '90+5' Yellow_Home - Raglan C.']",18,15.12.2020,20:45,0.0,1.0,0.0,0.0,Away,1.66,3.55,4.8,4.8,False,False,False,False,False,False,False,True,0.0,0.0,0.0,56%,44%,11.0,12.0,4.0,5.0,114.0,93.0,58.0,39.0,3.0,5.0,4.0,2.0,,,7.0,3.0,3.0,1.0,,,4.0,4.0,18.0,6.0,2.0,0.0,https://www.flashscore.com/match/bVQ8cvGL/#/match-summary/match-summary
league-two,Tranmere,Exeter,"['18' Goal_Home - Penalty Nugent D.(Penalty )', '20' Goal_Away - Randall J.(Jay M.)', '68' Goal_Home - Penalty Lloyd-Mcdrick D.(Penalty )', '74' Yellow_Home - Lewis P.']",37,20.03.2021,16:00,2.0,1.0,1.0,1.0,Home,2.85,3.05,2.45,2.85,True,False,False,False,False,False,False,False,0.0,0.0,0.0,42%,58%,4.0,7.0,2.0,2.0,105.0,119.0,36.0,54.0,1.0,2.0,1.0,3.0,,,2.0,6.0,2.0,2.0,,,1.0,0.0,18.0,14.0,1.0,0.0,https://www.flashscore.com/match/Odrav0y3/#/match-summary/match-summary
ligue-2,Caen,Quevilly Rouen,"['27' Yellow_Home - Vandermersch H.', '32' Yellow_Away - Boe-Kane Y.', '33' Yellow_Home - Court Y.', '49' Yellow_Home - Abdi A.', '61' Yellow_Away - Sidibe K.', '77' Goal_Home - Jeannot B.(Da Costa N.)', '78' Yellow_Home - Jeannot B.', '90+2' Goal_Home - Abdi A.(Chahiri M.)']",37,07.05.2022,19:00,2.0,0.0,0.0,0.0,Home,1.96,3.45,3.9,1.96,False,False,False,False,False,False,True,False,0.0,0.0,0.0,51%,49%,9.0,10.0,4.0,4.0,130.0,99.0,97.0,61.0,5.0,2.0,0.0,4.0,,,7.0,4.0,3.0,3.0,,,4.0,3.0,15.0,24.0,4.0,2.0,https://www.flashscore.com/match/I5dQwzvR/#/match-summary/match-summary
laliga2,Malaga,Las Palmas,"['17' Yellow_Away - Loiodice E.', '30' Goal_Home - Antonin', '48' Yellow_Home - Escassi A.', '52' Red_Card_Away - Żółta kartka / Loiodice E.', '55' Yellow_Home - Antonin', '77' Goal_Away - Ramirez B.', '83' Yellow_Away - Gonzalez F.', '86' Goal_Home - Gassama S.(Jozabed)']",17,20.11.2021,18:15,2.0,1.0,1.0,0.0,Home,2.75,2.9,2.85,2.75,True,False,False,False,False,False,False,False,0.0,0.0,0.0,45%,55%,8.0,15.0,3.0,5.0,104.0,105.0,26.0,31.0,4.0,7.0,1.0,3.0,,,2.0,5.0,2.0,0.0,,,4.0,1.0,17.0,21.0,2.0,3.0,https://www.flashscore.com/match/UVKUtYwo/#/match-summary/match-summary
laliga,Elche,Atl. Madryt,"['07' Yellow_Home - Milla P.(Nadmierna ostrość)', '28' Goal_Away - Matheus Cunha(Lodi R.)', '35' Yellow_Away - Lodi R.(Podcięcie)', '40' Yellow_Home - PrzytrzymywanieBigas P.(Przytrzymywanie)', '62' Goal_Away - de Paul R.(Griezmann A.)', '90+3' Yellow_Away - Kondogbia G.(Podcięcie)']",36,11.05.2022,21:30,0.0,2.0,0.0,1.0,Away,6.5,4.1,1.58,1.58,False,False,False,False,False,False,False,False,1.0,2.0,-1.0,56%,44%,9.0,11.0,0.0,6.0,112.0,100.0,49.0,33.0,4.0,5.0,5.0,0.0,15.0,17.0,6.0,3.0,1.0,8.0,15.0,13.0,4.0,0.0,16.0,7.0,2.0,2.0,https://www.flashscore.com/match/UiKAO7oi/#/match-summary/match-summary
league-two,Leyton Orient,Exeter,"['07' Goal_Home - Drinan A.(Happe D.)', '25' Goal_Home - Beckles O.', '25' Yellow_Away - Grounds J.', '59' Yellow_Home - James T.', '65' Penalty_Missed_Away - Jay M.()', '74' Red_Card_Away - Żółta kartka / Grounds J.', '77' Goal_Home - Archibald T.(Drinan A.)']",2,14.08.2021,16:00,3.0,0.0,2.0,0.0,Home,2.36,3.25,3.15,2.36,True,False,True,False,False,False,False,False,0.0,0.0,0.0,55%,45%,10.0,8.0,7.0,4.0,69.0,108.0,16.0,34.0,2.0,2.0,1.0,2.0,12.0,9.0,3.0,7.0,1.0,2.0,22.0,43.0,4.0,4.0,8.0,11.0,1.0,2.0,https://www.flashscore.com/match/AXY93zy1/#/match-summary/match-summary
bundesliga,Bayer Leverkusen,FC Augsburg,"['06' Yellow_Home - Bellarabi K.(Faul)', '09' Goal_Home - Bellarabi K.(Bakker M.)', '24' Goal_Home - Diaby M.(Adli A.)', '43' Yellow_Away - Pedersen M.(Faul)', '52' Yellow_Away - PrzytrzymywanieUduokhai F.(Przytrzymywanie)', '62' Goal_Away - Maier A.', '65' Goal_Home - Diaby M.', '69' Goal_Home - Diaby M.(Frimpong J.)', '81' Goal_Home - Alario L.(Andrich R.)']",20,22.01.2022,15:30,5.0,1.0,2.0,0.0,Home,1.47,4.53,7.4,1.47,True,True,True,False,False,False,False,False,7.0,1.0,6.0,62%,38%,22.0,14.0,12.0,5.0,121.0,84.0,46.0,40.0,10.0,9.0,,,8.0,7.0,9.0,5.0,1.0,1.0,24.0,16.0,4.0,7.0,8.0,7.0,1.0,2.0,https://www.flashscore.com/match/xbRSCIKc/#/match-summary/match-summary
laliga,Barcelona,Betis,"['36' Own_Home - Tosca A.()', '39' Goal_Home - Roberto S.(Deulofeu G.)', '52' Yellow_Home - Alba J.(Podcięcie)', '63' Yellow_Away - Leiva N.(Podcięcie)', '90+2' Yellow_Home - Digne L.(Nadmierna ostrość)']",1,20.08.2017,20:15,2.0,0.0,2.0,0.0,Home,1.19,7.5,14.5,1.19,False,False,False,False,False,False,False,False,4.0,3.0,1.0,61%,39%,15.0,3.0,2.0,0.0,111.0,69.0,86.0,36.0,8.0,2.0,5.0,1.0,16.0,18.0,8.0,0.0,2.0,1.0,17.0,15.0,0.0,0.0,16.0,15.0,2.0,1.0,https://www.flashscore.com/match/lnrjMKzO/#/match-summary/match-summary
premier-league,West Ham,Brentford,"['20' Goal_Away - Mbeumo B.', '35' Yellow_Home - Zouma K.(Podcięcie)', '69' Yellow_Away - Norgaard C.(Przytrzymywanie)', '80' Goal_Home - Bowen J.(Soucek T.)', '84' Yellow_Away - Canos S.(Podcięcie)', '85' Yellow_Away - Jorgensen M.(Nadmierna ostrość)', '90+2' Yellow_Home - Rice D.(Podcięcie)', '90+4' Goal_Away - Wissa Y.']",7,03.10.2021,15:00,1.0,2.0,0.0,1.0,Away,1.82,3.57,5.1,5.1,True,False,False,False,False,False,False,True,1.0,2.0,-1.0,60%,40%,18.0,13.0,5.0,6.0,121.0,83.0,71.0,31.0,6.0,3.0,7.0,4.0,11.0,14.0,10.0,6.0,2.0,1.0,16.0,20.0,4.0,4.0,16.0,13.0,2.0,3.0,https://www.flashscore.com/match/CSkL5lcO/#/match-summary/match-summary
bundesliga,Hannover,SC Freiburg,"['39' Goal_Home - Anton W.(Prib E.)', '40' Yellow_Away - Heintz D.(Nadmierna ostrość)', '51' Goal_Home - Bebou I.(Maina L.)', '54' Yellow_Away - Sallai R.(Faul)', '81' Goal_Home - Walace(Albornoz M.)']",33,11.05.2019,15:30,3.0,0.0,1.0,0.0,Home,2.89,3.8,2.37,2.89,True,False,False,False,False,False,False,False,7.0,7.0,0.0,58%,42%,18.0,5.0,6.0,1.0,78.0,64.0,46.0,21.0,7.0,3.0,5.0,1.0,13.0,15.0,5.0,3.0,0.0,1.0,,,1.0,3.0,15.0,12.0,0.0,2.0,https://www.flashscore.com/match/prBdu4OK/#/match-summary/match-summary
super-lig,Basaksehir,Yeni Malatyaspor,"['26' Goal_Home - Cigerci T.(Giuliano)', '29' Yellow_Home - Ponck', '62' Yellow_Away - Chebake I.', '70' Yellow_Home - Duarte L.', '71' Goal_Away - Buyuk A.(Hafez K.)', '79' Penalty_Missed_Home - Ba D.()', '87' Goal_Home - Sahiner O.', '90+1' Goal_Home - Aleksic D.(Visca E.)']",32,04.04.2021,15:00,3.0,1.0,1.0,0.0,Home,1.76,3.6,4.6,1.76,True,True,False,False,False,False,True,False,2.0,2.0,0.0,55%,45%,11.0,8.0,7.0,2.0,77.0,98.0,64.0,58.0,2.0,2.0,2.0,4.0,,,7.0,3.0,0.0,1.0,,,1.0,4.0,12.0,11.0,2.0,1.0,https://www.flashscore.com/match/0Y7hAA6E/#/match-summary/match-summary
ligue-1,Toulouse,Nantes,"['10' Goal_Away - Blas L.(Simon M.)', '18' Goal_Home - Machado D.(Bayo V.)', '22' Goal_Away - Kolo Muani R.', '46' Yellow_Away - Chirivella P.(Faul)', '63' Yellow_Home - Kone K.(Nadmierna ostrość)', '72' Yellow_Home - Moreira S.(Podcięcie)']",Play-off,27.05.2021,20:45,1.0,2.0,1.0,2.0,Away,2.73,3.13,2.81,2.81,True,False,False,True,False,False,False,False,0.0,1.0,-1.0,56%,44%,15.0,11.0,2.0,4.0,89.0,103.0,52.0,67.0,7.0,6.0,6.0,1.0,25.0,22.0,3.0,1.0,4.0,0.0,30.0,24.0,2.0,1.0,12.0,17.0,2.0,1.0,https://www.flashscore.com/match/drWCposR/#/match-summary/match-summary
ligue-1,Angers,Metz,"['14' Yellow_Home - Doumbia S.(Podcięcie)', '36' Yellow_Home - Thomas R.(Faul)', '38' Goal_Home - Mangani T.(Penalty )', '38' Yellow_Away - Udol M.(Nadmierna ostrość)', '39' Goal_Away - Nguette O.(Gueye L.)', '41' Yellow_Home - Moulin S.(Poza boiskiem)', '73' Yellow_Home - Traore I.(Podcięcie)', '84' Yellow_Away - Pajot V.(Podcięcie)', '86' Yellow_Home - Fulgini A.(Faul)']",7,18.10.2020,15:00,1.0,1.0,1.0,1.0,Draw,2.14,3.28,3.95,3.28,False,False,False,False,False,False,False,False,4.0,8.0,-4.0,46%,54%,7.0,7.0,2.0,3.0,85.0,112.0,48.0,38.0,2.0,3.0,3.0,1.0,12.0,20.0,2.0,5.0,2.0,1.0,,,2.0,1.0,18.0,13.0,4.0,2.0,https://www.flashscore.com/match/comI86Jm0/#/match-summary/match-summary
ligue-2,Dijon,Sochaux,"['08' Yellow_Away - Mauricio T.(Symulowanie)', '18' Yellow_Home - Benzia Y.(Niesportowe zachowanie)', '34' Yellow_Home - Rocchia C.(Nadmierna ostrość)', '51' Goal_Away - Weissbeck G.(Henry V.)', '74' Goal_Away - Kalulu A.', '84' Goal_Home - Assale R.(Younoussa W.)', '90+3' Yellow_Away - Pogba F.(Przytrzymywanie)', '90+7' Goal_Away - Virginius A.(Kaabouni Y.)']",1,26.07.2021,20:45,1.0,3.0,0.0,0.0,Away,3.65,3.25,2.02,2.02,True,True,False,False,False,False,False,True,0.0,0.0,0.0,49%,51%,9.0,13.0,1.0,5.0,93.0,86.0,40.0,48.0,4.0,5.0,4.0,3.0,28.0,22.0,2.0,2.0,4.0,3.0,25.0,26.0,2.0,0.0,13.0,20.0,2.0,2.0,https://www.flashscore.com/match/4lR0y4Z9/#/match-summary/match-summary
league-one,Cheltenham,Ipswich,"['09' Goal_Away - Penney M.', '15' Yellow_Home - Raglan C.', '27' Yellow_Away - Evans L.', '29' Yellow_Home - Wright C.', '62' Goal_Home - Wright C.(Boyle W.)', '64' Yellow_Home - Thomas C.', '81' Goal_Home - Boyle W.']",3,17.08.2021,20:45,2.0,1.0,0.0,1.0,Home,2.65,3.1,2.9,2.65,True,False,False,True,False,False,False,False,0.0,0.0,0.0,36%,64%,9.0,12.0,4.0,3.0,69.0,94.0,42.0,45.0,3.0,5.0,2.0,4.0,10.0,10.0,2.0,5.0,1.0,2.0,28.0,28.0,2.0,2.0,9.0,8.0,3.0,1.0,https://www.flashscore.com/match/AmHAOTy8/#/match-summary/match-summary
championship,QPR,Brentford,"['29' Yellow_Home - Kane T.', '30' Goal_Away - Toney I.(Jensen M.)', '33' Yellow_Home - Ball D.', '57' Yellow_Home - Dickie R.', '72' Goal_Home - Field S.', '76' Goal_Home - Austin C.(Chair I.)', '84' Yellow_Home - Cameron G.', '89' Yellow_Home - Dieng T. S.', '90' Yellow_Away - Toney I.']",30,17.02.2021,20:00,2.0,1.0,0.0,1.0,Home,4.05,3.6,1.93,4.05,True,False,False,False,False,False,False,False,4.0,4.0,0.0,53%,47%,9.0,10.0,3.0,2.0,106.0,83.0,53.0,30.0,3.0,5.0,3.0,3.0,,,5.0,4.0,1.0,2.0,,,1.0,1.0,17.0,16.0,5.0,1.0,https://www.flashscore.com/match/SfCOMJnQ/#/match-summary/match-summary
ligue-2,Dunkerque,Nancy,"['24' Goal_Home - Tchokounte M.(Kebbal I.)', '31' Yellow_Away - Latouchent R.', '54' Goal_Away - Biron M.(Triboulet V.)', '68' Yellow_Home - Diarra C.', '75' Goal_Away - Biron M.', '82' Yellow_Away - Seka E.', '90+3' Yellow_Away - Wooh C.']",25,13.02.2021,19:00,1.0,2.0,1.0,0.0,Away,2.96,2.8,2.75,2.75,True,False,False,False,False,False,False,False,0.0,0.0,0.0,57%,43%,10.0,16.0,2.0,5.0,98.0,85.0,64.0,58.0,7.0,9.0,1.0,2.0,,,4.0,2.0,2.0,0.0,,,3.0,1.0,11.0,21.0,1.0,3.0,https://www.flashscore.com/match/OM5K9dtl/#/match-summary/match-summary
league-one,Blackpool,Plymouth,"['12' Goal_Away - Hardie R.', '47' Goal_Home - Kaikai S.', '64' Goal_Home - Penalty Yates J.(Penalty )', '90+1' Goal_Away - Edwards J.(Grant C.)']",38,27.03.2021,16:00,2.0,2.0,0.0,1.0,Draw,1.74,3.55,4.35,3.55,True,True,False,True,True,False,False,True,0.0,0.0,0.0,48%,52%,11.0,13.0,4.0,5.0,23.0,11.0,28.0,42.0,4.0,6.0,3.0,2.0,10.0,14.0,1.0,5.0,0.0,1.0,27.0,41.0,3.0,2.0,14.0,10.0,,,https://www.flashscore.com/match/4AzSehmf/#/match-summary/match-summary
2-bundesliga,Paderborn,Sandhausen,"['15' Goal_Away - Halimi B.(Roseler N.)', '27' Yellow_Home - Ingelsson S.', '31' Yellow_Away - Zhirov A.', '36' Goal_Home - Srbeny D.(Schonlau B.)', '69' Yellow_Away - Nauber G.', '74' Goal_Home - Antwi-Adjei C.(Dorfler J.)']",22,20.02.2021,13:00,2.0,1.0,1.0,1.0,Home,1.78,3.85,4.65,1.78,True,False,False,True,False,False,False,False,0.0,0.0,0.0,57%,43%,13.0,17.0,2.0,4.0,112.0,116.0,36.0,64.0,11.0,13.0,,,13.0,15.0,3.0,4.0,0.0,1.0,29.0,37.0,3.0,0.0,15.0,12.0,1.0,2.0,https://www.flashscore.com/match/ziSoEgbs/#/match-summary/match-summary
premier-league,Arsenal,Aston Villa,"['11' Yellow_Home - Maitland-Niles A.(Podcięcie)', '20' Goal_Away - McGinn J.(El-Ghazi A.)', '35' Yellow_Home - Xhaka G.(Przytrzymywanie)', '41' Red_Card_Home - Żółta kartka / Maitland-Niles A.(Podcięcie)', '44' Yellow_Home - Guendouzi M.(Faul)', '59' Goal_Home - Pepe N.(Penalty )', '60' Goal_Away - Wesley(Grealish J.)', '81' Goal_Home - Chambers C.', '83' Yellow_Away - Engels B.(Przytrzymywanie)', '84' Goal_Home - Aubameyang P.', '85' Yellow_Home - Pepe N.(Niesportowe zachowanie)', '90+2' Yellow_Home - Leno B.(Opóźnianie gry)', '90+5' Yellow_Home - Aubameyang P.(Nadmierna ostrość)']",6,22.09.2019,17:30,3.0,2.0,0.0,1.0,Home,1.46,5.1,6.9,1.46,True,True,False,False,False,False,False,False,1.0,2.0,-1.0,58%,42%,21.0,14.0,6.0,9.0,106.0,72.0,69.0,41.0,10.0,3.0,5.0,2.0,15.0,15.0,9.0,4.0,2.0,0.0,,,7.0,3.0,13.0,15.0,7.0,1.0,https://www.flashscore.com/match/4tJXu8C7/#/match-summary/match-summary
ligue-2,Nancy,Sochaux,"['25' Yellow_Home - Bertrand D.', '86' Yellow_Away - Thioune O.', '88' Yellow_Away - Henry V.']",14,30.10.2021,19:00,0.0,0.0,0.0,0.0,Draw,3.6,3.05,2.21,3.05,False,False,False,False,False,False,False,False,0.0,0.0,0.0,36%,64%,9.0,13.0,3.0,2.0,91.0,105.0,47.0,74.0,5.0,6.0,1.0,5.0,,,5.0,5.0,0.0,1.0,,,2.0,3.0,14.0,13.0,1.0,2.0,https://www.flashscore.com/match/SSFDvRnl/#/match-summary/match-summary
