League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
eredivisie,Heerenveen,Groningen,"['07' Goal_Home - van Hooijdonk S.', '29' Goal_Away - Kasanwirjo N.', '42' Yellow_Home - Kaib R.(Podcięcie)', '53' Goal_Home - van Hooijdonk S.(Tahiri A.)', '65' Yellow_Home - Dresevic I.(Podcięcie)', '71' Yellow_Away - Kasanwirjo N.(Faul)', '80' Goal_Home - van Beek S.(Haye T.)']",29,10.04.2022,12:15,3.0,1.0,1.0,1.0,Home,2.28,3.25,3.4,2.28,True,True,True,False,False,False,False,False,2.0,3.0,-1.0,40%,60%,11.0,10.0,7.0,4.0,95.0,102.0,30.0,54.0,3.0,2.0,1.0,4.0,10.0,11.0,9.0,6.0,2.0,0.0,29.0,19.0,3.0,4.0,9.0,10.0,2.0,1.0,https://www.flashscore.com/match/AoS46uzD/#/match-summary/match-summary
league-one,Oxford Utd,Cheltenham,"['29' Penalty_Missed_Home - Taylor M.()', '32' Yellow_Home - Sykes M.', '45' Yellow_Away - Thomas C.', '48' Goal_Away - Wright C.(Freestone L.)', '58' Yellow_Away - Blair M.', '71' Yellow_Away - Freestone L.', '72' Yellow_Away - Evans O.', '77' Yellow_Away - Raglan C.', '82' Goal_Home - Sykes M.(Whyte G.)']",26,01.01.2022,16:00,1.0,1.0,0.0,0.0,Draw,1.52,4.3,5.6,4.3,False,False,False,False,False,True,False,False,0.0,0.0,0.0,64%,36%,16.0,8.0,4.0,4.0,100.0,83.0,51.0,43.0,10.0,2.0,2.0,2.0,7.0,11.0,9.0,3.0,3.0,0.0,31.0,19.0,3.0,3.0,8.0,11.0,1.0,5.0,https://www.flashscore.com/match/f7uRjdEU/#/match-summary/match-summary
league-one,Sheffield Wed,Portsmouth,"['04' Goal_Away - Hirst G.(Curtis R.)', '17' Goal_Home - Gregory L.(Johnson M.)', '36' Goal_Home - Berahino S.(Storey J.)', '40' Goal_Home - Storey J.(Byers G.)', '74' Yellow_Home - Gregory L.', '84' Yellow_Home - Paterson C.', '86' Goal_Home - Byers G.(Windass J.)', '90' Yellow_Away - Morrell J.', '90' Yellow_Home - Byers G.']",46,30.04.2022,13:30,4.0,1.0,3.0,1.0,Home,1.44,4.4,6.8,1.44,True,True,False,True,False,False,False,False,0.0,0.0,0.0,55%,45%,13.0,11.0,8.0,3.0,101.0,88.0,55.0,30.0,2.0,4.0,3.0,4.0,13.0,6.0,7.0,4.0,0.0,2.0,19.0,15.0,2.0,4.0,8.0,14.0,3.0,1.0,https://www.flashscore.com/match/dKwSpDvB/#/match-summary/match-summary
fortuna-1-liga,Odra Opole,GKS Bełchatów,"['42' Yellow_Away - Wolkowicz K.', '43' Yellow_Away - Bartosiak B.', '47' Yellow_Home - Janus K.', '68' Goal_Home - Janus K.', '70' Yellow_Home - Kaminski M.', '76' Yellow_Home - Fedotov V.']",22,06.03.2020,18:00,1.0,0.0,0.0,0.0,Home,2.18,3.42,3.3,2.18,False,False,False,False,False,False,False,False,0.0,0.0,0.0,54%,46%,14.0,4.0,5.0,1.0,84.0,75.0,47.0,31.0,4.0,1.0,5.0,2.0,29.0,25.0,5.0,4.0,0.0,3.0,,,1.0,4.0,25.0,26.0,3.0,2.0,https://www.flashscore.com/match/hIs3i9uT/#/match-summary/match-summary
laliga2,Huesca,Numancia,"['53' Yellow_Away - Hernandez H.', '54' Goal_Home - Penalty Mir R.(Penalty )', '62' Yellow_Home - Josue Sa', '68' Goal_Home - Mir R.', '78' Goal_Home - Okazaki S.']",41,17.07.2020,21:00,3.0,0.0,0.0,0.0,Home,1.6,3.65,6.1,1.6,True,False,False,False,False,False,False,False,0.0,0.0,0.0,55%,45%,21.0,7.0,8.0,2.0,92.0,74.0,73.0,39.0,11.0,5.0,2.0,0.0,4.0,0.0,7.0,2.0,5.0,2.0,,,2.0,5.0,12.0,6.0,1.0,1.0,https://www.flashscore.com/match/vq7RCXFf/#/match-summary/match-summary
championship,Blackburn,Watford,"['25' Goal_Away - Pedro J.(Cleverley T.)', '34' Yellow_Home - Rothwell J.', '38' Goal_Away - Sarr I.', '43' Goal_Home - Elliott H.', '61' Goal_Away - Sema K.(Pedro J.)', '82' Goal_Home - Brereton B.(Downing S.)']",32,24.02.2021,20:45,2.0,3.0,1.0,2.0,Away,3.45,3.25,2.26,2.26,True,True,False,False,False,False,False,False,6.0,6.0,0.0,53%,47%,10.0,17.0,5.0,7.0,103.0,95.0,56.0,44.0,2.0,7.0,3.0,3.0,,,7.0,6.0,0.0,2.0,,,4.0,3.0,13.0,9.0,1.0,0.0,https://www.flashscore.com/match/MuzIig4j/#/match-summary/match-summary
2-bundesliga,Hamburger SV,Osnabruck,"['16' Goal_Home - Kittel S.(Kinsombi D.)', '41' Goal_Home - Jatta B.', '48' Goal_Home - Jatta B.(Kittel S.)', '52' Yellow_Away - Reis L.', '54' Goal_Home - Vagnoman J.(Terodde S.)', '61' Own_Home - Trapp M.()']",16,18.01.2021,20:30,5.0,0.0,2.0,0.0,Home,1.58,4.15,6.4,1.58,True,True,False,False,True,False,False,False,0.0,0.0,0.0,63%,37%,7.0,11.0,5.0,2.0,102.0,103.0,57.0,31.0,2.0,9.0,,,14.0,11.0,9.0,6.0,2.0,0.0,19.0,13.0,2.0,0.0,9.0,14.0,0.0,1.0,https://www.flashscore.com/match/8nFlvSaD/#/match-summary/match-summary
ligue-1,Reims,Troyes,"['06' Goal_Home - Abdelhamid Y.(Flips A.)', '09' Yellow_Away - Kabore I.(Podcięcie)', '32' Yellow_Home - Flips A.(Faul)', '41' Goal_Away - Balde M.', '44' Yellow_Home - Gravillon A.(Podcięcie)', '66' Goal_Away - Chavalerin X.', '76' Yellow_Away - Gallon G.(Opóźnianie gry)', '86' Yellow_Home - Matusiwa A.(Podcięcie)', '90+2' Red_Card_Home - Żółta kartka / Gravillon A.(Podcięcie)']",11,24.10.2021,15:00,1.0,2.0,1.0,1.0,Away,2.37,3.0,3.55,3.55,True,False,True,False,False,False,False,False,5.0,8.0,-3.0,55%,45%,18.0,7.0,5.0,4.0,124.0,80.0,54.0,19.0,8.0,1.0,5.0,2.0,14.0,15.0,7.0,1.0,1.0,1.0,27.0,32.0,2.0,4.0,14.0,13.0,4.0,2.0,https://www.flashscore.com/match/vcb8mzMk/#/match-summary/match-summary
serie-b,Cremonese,Chievo,"['21' Yellow_Home - Zaccagno A.', '22' Goal_Away - Penalty Giaccherini E.(Penalty )', '34' Yellow_Away - Palmiero L.', '34' Yellow_Home - Valzania L.', '72' Yellow_Home - Castagnetti M.', '81' Goal_Away - Bertagnoli M.(Garritano L.)', '82' Yellow_Away - Bertagnoli M.']",17,04.01.2021,18:00,0.0,2.0,0.0,1.0,Away,3.2,3.05,2.35,2.35,False,False,False,False,False,False,False,False,0.0,0.0,0.0,43%,57%,9.0,7.0,3.0,3.0,120.0,116.0,37.0,45.0,2.0,4.0,4.0,0.0,,,3.0,6.0,3.0,4.0,,,1.0,3.0,16.0,16.0,3.0,2.0,https://www.flashscore.com/match/UPedrCV0/#/match-summary/match-summary
eredivisie,Zwolle,Venlo,"['51' Yellow_Home - Lam T.(Nadmierna ostrość)', '66' Goal_Home - Tedic S.(Lam T.)', '69' Goal_Away - Gelmi R.', '79' Goal_Home - Lam T.(Penalty )', '90+3' Yellow_Away - Giakoumakis G.(Nadmierna ostrość)']",27,21.03.2021,12:15,2.0,1.0,0.0,0.0,Home,1.81,3.87,4.35,1.81,True,False,False,False,False,False,False,False,1.0,3.0,-2.0,61%,39%,19.0,12.0,5.0,4.0,135.0,82.0,60.0,32.0,6.0,4.0,8.0,4.0,11.0,15.0,11.0,5.0,1.0,2.0,,,3.0,3.0,8.0,14.0,1.0,1.0,https://www.flashscore.com/match/WlI79jjs/#/match-summary/match-summary
