League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
laliga2,Gijon,R. Oviedo,"['06' Goal_Away - Johannesson D.(Ahijado L.)', '09' Yellow_Away - Arribas A.', '52' Yellow_Away - Ahijado L.', '79' Yellow_Home - Babin J.']",35,17.04.2021,18:15,0.0,1.0,0.0,1.0,Away,2.58,2.7,3.25,3.25,False,False,False,True,False,False,False,False,0.0,0.0,0.0,65%,35%,10.0,8.0,4.0,3.0,135.0,100.0,79.0,54.0,5.0,3.0,1.0,2.0,,,5.0,2.0,0.0,2.0,,,2.0,4.0,8.0,15.0,1.0,2.0,https://www.flashscore.com/match/SlmPSLiJ/#/match-summary/match-summary
ligue-2,Chambly,Sochaux,"['11' Yellow_Home - El Hriti A.', '35' Own_Home - Lopy J.()', '42' Yellow_Away - Ndour A.', '47' Goal_Away - Lasme B.(Virginius A.)', '51' Yellow_Away - Kaabouni Y.', '54' Goal_Away - Virginius A.(Lasme B.)', '57' Yellow_Home - Guezoui M.', '60' Goal_Away - Virginius A.(Lasme B.)', '89' Goal_Away - Bedia C.(Kaabouni Y.)']",24,05.02.2021,20:00,1.0,4.0,1.0,0.0,Away,3.5,2.87,2.35,2.35,True,True,False,False,False,True,False,False,0.0,0.0,0.0,60%,40%,11.0,8.0,2.0,6.0,75.0,70.0,70.0,57.0,2.0,2.0,7.0,0.0,,,6.0,3.0,2.0,0.0,,,2.0,1.0,20.0,19.0,2.0,2.0,https://www.flashscore.com/match/nw8m73Kk/#/match-summary/match-summary
jupiler-league,KV Mechelen,St. Liege,"['22' Goal_Away - Dussenne N.(Gavory N.)', '49' Goal_Away - Amallah S.', '51' Yellow_Away - Pavlovic D.', '54' Goal_Away - Bastien S.(Balikwisha M.)', '57' Goal_Away - Balikwisha M.(Amallah S.)', '76' Yellow_Home - de Camargo I.']",25,20.01.2021,18:45,0.0,4.0,0.0,1.0,Away,2.3,3.6,3.05,3.05,True,True,False,False,False,True,False,False,4.0,4.0,0.0,53%,47%,13.0,12.0,3.0,5.0,121.0,107.0,68.0,58.0,8.0,3.0,2.0,4.0,,,4.0,0.0,1.0,1.0,,,1.0,3.0,17.0,14.0,1.0,1.0,https://www.flashscore.com/match/bBUyDDUb/#/match-summary/match-summary
championship,Barnsley,Wycombe,"['31' Goal_Home - Styles C.', '49' Goal_Away - Penalty Jacobson J.(Penalty )', '60' Yellow_Away - Allsop R.', '61' Goal_Home - Penalty Woodrow C.(Penalty )', '73' Yellow_Away - Grimmer J.', '73' Yellow_Home - Mowatt A.', '77' Yellow_Home - Brittain C.', '80' Yellow_Home - Styles C.', '81' Yellow_Away - Jacobson J.']",17,09.12.2020,20:45,2.0,1.0,1.0,0.0,Home,1.67,3.7,5.8,1.67,True,False,False,False,False,True,False,False,4.0,3.0,1.0,52%,48%,14.0,6.0,8.0,2.0,100.0,97.0,54.0,44.0,5.0,2.0,1.0,2.0,,,7.0,5.0,4.0,3.0,,,1.0,6.0,15.0,11.0,3.0,3.0,https://www.flashscore.com/match/lnGoDrRS/#/match-summary/match-summary
liga-portugal,Rio Ave,Boavista,"['30' Yellow_Home - Geraldes F.', '38' Yellow_Home - Carlos Mane']",9,06.12.2020,18:30,0.0,0.0,0.0,0.0,Draw,2.32,3.2,3.4,3.2,False,False,False,False,False,False,False,False,2.0,1.0,1.0,68%,32%,7.0,6.0,3.0,2.0,135.0,75.0,60.0,8.0,4.0,4.0,0.0,0.0,,,7.0,0.0,2.0,3.0,,,2.0,3.0,14.0,15.0,2.0,0.0,https://www.flashscore.com/match/bTDVEqLi/#/match-summary/match-summary
league-one,Wigan,Accrington,"['36' Yellow_Away - Nottingham M.', '37' Goal_Home - Bennett J.', '42' Goal_Home - Magennis J.(Power M.)', '53' Yellow_Away - Rich-Baghuelou J.', '57' Goal_Home - Keane W.', '77' Yellow_Home - Naylor T.']",26,05.04.2022,20:45,3.0,0.0,2.0,0.0,Home,1.58,3.9,5.6,1.58,True,False,False,False,False,False,False,False,0.0,0.0,0.0,53%,47%,14.0,14.0,7.0,3.0,78.0,121.0,26.0,39.0,6.0,8.0,1.0,3.0,16.0,14.0,5.0,2.0,2.0,3.0,17.0,23.0,3.0,4.0,14.0,15.0,1.0,2.0,https://www.flashscore.com/match/84Im8cq5/#/match-summary/match-summary
fortuna-1-liga,ŁKS Łódź,Resovia Rzeszów,"['15' Yellow_Away - Kubowicz D.', '20' Yellow_Home - Marciniak A.', '21' Goal_Away - Komor A.', '41' Goal_Away - Hilbrycht D.', '58' Goal_Away - Hilbrycht D.', '79' Yellow_Away - Pindroch B.']",7,05.09.2021,12:40,0.0,3.0,0.0,2.0,Away,1.65,3.85,5.9,5.9,True,False,False,False,False,False,False,False,0.0,0.0,0.0,67%,33%,19.0,15.0,6.0,7.0,126.0,64.0,66.0,35.0,8.0,7.0,5.0,1.0,18.0,16.0,10.0,2.0,1.0,2.0,,,4.0,6.0,14.0,16.0,1.0,2.0,https://www.flashscore.com/match/rqUMrpDO/#/match-summary/match-summary
super-lig,Yeni Malatyaspor,Alanyaspor,"['30' Yellow_Home - Acquah A.', '36' Yellow_Home - Hadebe T.', '64' Goal_Home - Hadebe T.(Hafez K.)', '86' Yellow_Home - Fofana M.', '90+4' Yellow_Home - Yavru Z.']",35,17.04.2021,15:00,1.0,0.0,0.0,0.0,Home,3.45,3.25,2.15,3.45,False,False,False,False,False,False,False,False,2.0,1.0,1.0,40%,60%,3.0,9.0,1.0,4.0,64.0,87.0,29.0,69.0,2.0,5.0,0.0,0.0,,,2.0,7.0,2.0,0.0,,,4.0,0.0,13.0,16.0,4.0,0.0,https://www.flashscore.com/match/8tdDWcJo/#/match-summary/match-summary
bundesliga,1. FSV Mainz 05,SC Freiburg,"['45' Yellow_Home - Hack A.(Podcięcie)', '64' Yellow_Away - Schlotterbeck N.(Podcięcie)', '90+3' Yellow_Home - Zentner R.(Niesportowe zachowanie)']",5,18.09.2021,15:30,0.0,0.0,0.0,0.0,Draw,1.88,3.82,4.3,3.82,False,False,False,False,False,False,False,False,2.0,1.0,1.0,48%,52%,10.0,7.0,3.0,2.0,90.0,108.0,34.0,35.0,7.0,5.0,,,17.0,21.0,4.0,4.0,3.0,1.0,22.0,19.0,2.0,3.0,18.0,16.0,2.0,1.0,https://www.flashscore.com/match/ne5nFgTT/#/match-summary/match-summary
premier-league,Everton,Southampton,"['09' Goal_Home - Richarlison(Sigurdsson G.)', '26' Var_Home', '77' Yellow_Away - Armstrong S.(Podcięcie)', '80' Yellow_Away - Tella N.(Podcięcie)']",26,01.03.2021,21:00,1.0,0.0,1.0,0.0,Home,2.17,3.55,3.55,2.17,False,False,True,False,False,False,False,False,5.0,7.0,-2.0,47%,53%,7.0,9.0,1.0,1.0,101.0,119.0,42.0,55.0,2.0,4.0,4.0,4.0,9.0,17.0,4.0,10.0,4.0,0.0,,,1.0,0.0,13.0,9.0,0.0,2.0,https://www.flashscore.com/match/4pcMVkSM/#/match-summary/match-summary
