League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
eredivisie,Sittard,Utrecht,"['21' Goal_Away - Mahi M.(Timber Q.)', '23' Goal_Home - Cox G.', '33' Yellow_Home - Cox G.(Nadmierna ostrość)', '45' Yellow_Away - van de Streek S.(Podcięcie)', '50' Goal_Away - van de Streek S.', '70' Yellow_Away - Maher A.(Nadmierna ostrość)', '77' Goal_Home - Flemming Z.(Cox G.)', '84' Yellow_Away - Janssen W.(Nadmierna ostrość)']",17,18.12.2021,16:30,2.0,2.0,1.0,1.0,Draw,5.2,4.2,1.62,4.2,True,True,False,False,False,True,False,False,0.0,4.0,-4.0,49%,51%,8.0,16.0,3.0,6.0,86.0,124.0,32.0,63.0,3.0,6.0,2.0,4.0,13.0,8.0,1.0,7.0,0.0,1.0,18.0,15.0,4.0,1.0,9.0,13.0,1.0,3.0,https://www.flashscore.com/match/lbWtdIcm/#/match-summary/match-summary
serie-a,Lazio,Salernitana,"['09' Yellow_Away - Gyomber N.(Podcięcie)', '11' Yellow_Home - Cataldi D.(Przytrzymywanie)', '31' Goal_Home - Immobile C.(Pedro)', '36' Goal_Home - Pedro', '55' Yellow_Away - Obi J.(Podcięcie)', '69' Goal_Home - Alberto L.(Anderson F.)']",12,07.11.2021,18:00,3.0,0.0,2.0,0.0,Home,1.32,5.7,9.2,1.32,True,False,False,False,False,False,False,False,2.0,4.0,-2.0,61%,39%,16.0,5.0,5.0,0.0,115.0,98.0,53.0,36.0,6.0,5.0,5.0,0.0,22.0,11.0,5.0,1.0,1.0,2.0,,,0.0,2.0,7.0,14.0,1.0,2.0,https://www.flashscore.com/match/ID8oQIIQ/#/match-summary/match-summary
jupiler-league,Kortrijk,Charleroi,"['43' Yellow_Away - Tchatchoua J.', '45' Goal_Home - Penalty Selemani F.(Penalty )', '46' Yellow_Away - Knezevic S.', '64' Goal_Away - Nicholson S.(Morioka R.)', '71' Yellow_Away - Andreou S.', '73' Goal_Home - Alioui R.', '90+1' Yellow_Home - Mbayo D.', '90+2' Yellow_Away - Zedadka K.', '90+4' Yellow_Home - D', '90+5' Goal_Away - Gholizadeh A.(Nicholson S.)']",10,02.10.2021,16:15,2.0,2.0,2.0,0.0,Draw,2.77,3.6,2.48,3.6,True,True,False,False,True,False,False,True,4.0,2.0,2.0,45%,55%,24.0,21.0,9.0,11.0,100.0,118.0,39.0,50.0,9.0,4.0,6.0,6.0,,,5.0,6.0,0.0,0.0,,,9.0,7.0,14.0,8.0,2.0,4.0,https://www.flashscore.com/match/Q3RP6DSl/#/match-summary/match-summary
premier-league,Everton,Bournemouth,"['13' Goal_Away - King J.(Penalty )', '41' Goal_Home - Kean M.(Walcott T.)', '45+1' Goal_Away - Solanke D.(Rico D.)', '79' Yellow_Home - Keane M.(Podcięcie)', '80' Goal_Away - Stanislas J.(King J.)']",38,26.07.2020,17:00,1.0,3.0,1.0,2.0,Away,2.45,3.7,2.84,2.84,True,True,False,True,False,True,False,False,5.0,3.0,2.0,70%,30%,13.0,13.0,5.0,7.0,131.0,101.0,56.0,60.0,5.0,2.0,3.0,4.0,9.0,11.0,2.0,5.0,0.0,1.0,,,4.0,4.0,11.0,9.0,1.0,0.0,https://www.flashscore.com/match/Qiap3r8Q/#/match-summary/match-summary
league-one,Morecambe,Burton,"['28' Yellow_Home - Connolly D.', '41' Goal_Home - Gnahoua A.(Wildig A.)', '43' Red_Card_Away - Shaughnessy C.', '45+5' Goal_Home - Phillips A.(Stockton C.)', '46' Goal_Home - Stockton C.', '71' Yellow_Away - Oshilaja A.']",41,02.04.2022,16:00,3.0,0.0,2.0,0.0,Home,2.95,3.3,2.33,2.95,True,False,False,False,True,False,False,False,0.0,0.0,0.0,59%,41%,22.0,8.0,8.0,2.0,111.0,75.0,76.0,33.0,7.0,2.0,7.0,4.0,8.0,6.0,11.0,7.0,1.0,1.0,26.0,23.0,2.0,5.0,6.0,10.0,1.0,1.0,https://www.flashscore.com/match/zm2MOD4P/#/match-summary/match-summary
laliga,Alaves,Barcelona,"['32' Yellow_Away - Umtiti S.(Faul)', '36' Yellow_Home - Wakaso M.(Podcięcie)', '38' Yellow_Home - Ely R.(Przytrzymywanie)', '39' Penalty_Missed_Away - Messi L.()', '41' Yellow_Away - Roberto S.(Nadmierna ostrość)', '45' Yellow_Away - Pique G.(Zagranie ręką)', '55' Goal_Away - Messi L.(Alba J.)', '66' Goal_Away - Messi L.(Alcacer P.)']",2,26.08.2017,18:15,0.0,2.0,0.0,0.0,Away,10.0,5.6,1.3,1.3,False,False,False,False,False,False,False,False,3.0,3.0,0.0,27%,73%,11.0,23.0,2.0,11.0,66.0,125.0,29.0,101.0,3.0,5.0,6.0,7.0,9.0,12.0,1.0,14.0,1.0,0.0,7.0,23.0,9.0,2.0,12.0,10.0,2.0,3.0,https://www.flashscore.com/match/YXl7Ge39/#/match-summary/match-summary
laliga2,Las Palmas,R. Oviedo,"['07' Goal_Away - Sanchez B.', '26' Goal_Home - Moleiro A.', '45+3' Yellow_Away - Isaac C.', '62' Goal_Home - Viera J.', '90' Red_Card_Away - Cornud P.']",41,21.05.2022,22:00,2.0,1.0,1.0,1.0,Home,1.97,3.45,3.95,1.97,True,False,False,True,False,False,False,False,0.0,0.0,0.0,67%,33%,11.0,7.0,4.0,4.0,132.0,74.0,53.0,27.0,3.0,3.0,4.0,0.0,19.0,14.0,7.0,3.0,1.0,3.0,22.0,17.0,3.0,2.0,13.0,16.0,0.0,1.0,https://www.flashscore.com/match/0I5zdyyS/#/match-summary/match-summary
premier-league,Manchester City,Liverpool,"['13' Goal_Away - Salah M.(Penalty )', '31' Goal_Home - Gabriel Jesus(De Bruyne K.)', '42' Penalty_Missed_Home - De Bruyne K.()', '46' Yellow_Away - Matip J.(Podcięcie)', '61' Yellow_Home - Sterling R.(Nadmierna ostrość)', '79' Yellow_Home - Laporte A.(Przytrzymywanie)', '90+3' Yellow_Home - Walker K.(Podcięcie)']",8,08.11.2020,17:30,1.0,1.0,1.0,1.0,Draw,1.94,4.15,3.7,4.15,False,False,False,True,False,False,False,False,3.0,4.0,-1.0,55%,45%,7.0,10.0,2.0,3.0,96.0,95.0,45.0,42.0,4.0,4.0,1.0,3.0,16.0,20.0,1.0,2.0,2.0,5.0,,,2.0,1.0,19.0,11.0,3.0,1.0,https://www.flashscore.com/match/ruEqGFid/#/match-summary/match-summary
league-one,Doncaster,Wigan,"['03' Goal_Away - Dodoo J.(Aasgaard T.)', '15' Goal_Away - Aasgaard T.', '33' Goal_Away - Solomon-Otabor V.(Keane W.)', '43' Yellow_Home - Anderson T.', '45+3' Goal_Home - Richards T.(Sims J.)', '57' Yellow_Away - Dodoo J.', '81' Goal_Away - Keane W.(Dodoo J.)', '85' Yellow_Away - Jones J.', '85' Yellow_Home - Wright J.', '90+5' Yellow_Home - Gomes M.']",41,10.04.2021,16:00,1.0,4.0,1.0,3.0,Away,2.02,3.32,3.45,3.45,True,True,False,True,True,False,False,False,0.0,0.0,0.0,56%,44%,8.0,14.0,4.0,6.0,87.0,98.0,37.0,47.0,3.0,5.0,1.0,3.0,14.0,8.0,3.0,12.0,1.0,1.0,13.0,27.0,2.0,3.0,7.0,13.0,3.0,2.0,https://www.flashscore.com/match/lApdmRab/#/match-summary/match-summary
serie-a,Sampdoria,Inter,"['18' Goal_Away - Dimarco F.', '22' Yellow_Away - Brozovic M.(Podcięcie)', '32' Goal_Home - Yoshida M.', '35' Yellow_Home - Thorsby M.(Podcięcie)', '44' Goal_Away - Martinez L.(Barella N.)', '47' Goal_Home - Augello T.(Bereszyński B.)', '67' Yellow_Home - Bereszyński B.(Podcięcie)', '82' Yellow_Home - Colley O.(Podcięcie)', '88' Yellow_Home - Silva Ad.(Nadmierna ostrość)', '89' Yellow_Away - Dzeko E.(Nadmierna ostrość)', '90' Yellow_Away - Correa J.(Podcięcie)', '90+3' Yellow_Away - Vidal A.(Podcięcie)']",3,12.09.2021,12:30,2.0,2.0,1.0,2.0,Draw,5.1,4.0,1.68,4.0,True,True,False,False,True,False,False,False,3.0,3.0,0.0,47%,53%,12.0,8.0,3.0,3.0,107.0,56.0,54.0,29.0,5.0,5.0,4.0,0.0,24.0,17.0,4.0,4.0,2.0,1.0,,,1.0,1.0,12.0,13.0,4.0,4.0,https://www.flashscore.com/match/GMiKLEk8/#/match-summary/match-summary
eredivisie,Sittard,Waalwijk,"['08' Goal_Away - Mulder H.(Leemans C.)', '13' Goal_Home - Diemers M.(Angha M.)', '15' Yellow_Away - Mulder H.(Podcięcie)', '31' Goal_Away - Leemans C.(Maatsen D.)', '39' Yellow_Home - Diemers M.(Podcięcie)', '42' Yellow_Home - Angha M.(Podcięcie)', '45' Goal_Home - Damascan V.(Ciss A.)', '56' Yellow_Home - Passlack F.(Nadmierna ostrość)', '58' Goal_Home - Damascan V.(Ciss A.)', '76' Yellow_Home - Carbonell A.(Niesportowe zachowanie)', '81' Yellow_Away - Vaessen E.(Niesportowe zachowanie)', '82' Yellow_Away - Nadmierna ostrośćSpierings S.(Nadmierna ostrość)', '83' Red_Card_Away - Maatsen D.(Niesportowe zachowanie)']",17,14.12.2019,19:45,3.0,2.0,3.0,2.0,Home,2.08,4.0,3.15,2.08,True,True,True,True,True,False,False,False,2.0,1.0,1.0,47%,53%,21.0,11.0,13.0,3.0,127.0,125.0,36.0,60.0,7.0,5.0,1.0,3.0,24.0,15.0,5.0,4.0,4.0,4.0,,,1.0,10.0,11.0,18.0,4.0,3.0,https://www.flashscore.com/match/vBThBxjB/#/match-summary/match-summary
league-one,Peterborough,Portsmouth,"['32' Own_Home - Nicolaisen R.()', '41' Yellow_Away - Whatmough J.', '77' Yellow_Home - Beevers M.', '83' Yellow_Away - White H.']",36,16.03.2021,20:00,1.0,0.0,1.0,0.0,Home,2.07,3.25,3.4,2.07,False,False,False,False,False,False,False,False,0.0,0.0,0.0,57%,43%,9.0,14.0,3.0,4.0,134.0,120.0,49.0,52.0,4.0,7.0,2.0,3.0,,,3.0,4.0,1.0,2.0,,,4.0,2.0,16.0,12.0,1.0,2.0,https://www.flashscore.com/match/CdiPutcd/#/match-summary/match-summary
laliga,Granada,Atl. Madryt,"['28' Yellow_Away - Correa A.(Nadmierna ostrość)', '31' Yellow_Home - Soldado R.(Niesportowe zachowanie)', '39' Yellow_Away - Felipe(Nadmierna ostrość)', '43' Yellow_Home - Montoro A.(Podcięcie)', '54' Yellow_Home - Puertas A.(Niesportowe zachowanie)', '60' Goal_Away - Renan Lodi(Herrera H.)', '63' Yellow_Home - Gonalons M.(Niesportowe zachowanie)', '66' Yellow_Away - Llorente M.(Nadmierna ostrość)', '67' Goal_Home - Sanchez G.(Montoro A.)']",14,23.11.2019,18:30,1.0,1.0,0.0,0.0,Draw,5.3,3.15,1.9,3.15,False,False,False,False,False,False,False,False,1.0,6.0,-5.0,40%,60%,9.0,17.0,3.0,6.0,92.0,130.0,28.0,67.0,2.0,5.0,4.0,6.0,22.0,16.0,2.0,8.0,1.0,6.0,,,5.0,2.0,15.0,17.0,4.0,3.0,https://www.flashscore.com/match/z59KWmop/#/match-summary/match-summary
serie-a,Inter,Genoa,"['02' Yellow_Away - Criscito D.(Przytrzymywanie)', '06' Goal_Home - Skriniar M.(Calhanoglu H.)', '14' Goal_Home - Calhanoglu H.(Dzeko E.)', '45+3' Var_Home', '66' Yellow_Away - Sturaro S.(Podcięcie)', '74' Goal_Home - Vidal A.(Barella N.)', '78' Yellow_Home - Vecino M.(Nadmierna ostrość)', '87' Goal_Home - Dzeko E.(Vidal A.)']",1,21.08.2021,18:30,4.0,0.0,2.0,0.0,Home,1.34,5.3,10.5,1.34,True,True,True,False,False,False,False,False,4.0,2.0,2.0,64%,36%,17.0,11.0,8.0,5.0,134.0,60.0,60.0,28.0,4.0,4.0,5.0,2.0,9.0,17.0,8.0,2.0,2.0,2.0,,,5.0,4.0,18.0,7.0,1.0,2.0,https://www.flashscore.com/match/OfTri3pH/#/match-summary/match-summary
jupiler-league,Oostende,Genk,"['06' Goal_Away - Ugbo I.(Ito J.)', '12' Goal_Away - Ito J.(Hrosovsky P.)', '35' Goal_Away - Munoz D.(Arteaga G.)', '49' Yellow_Home - McGeehan C.', '78' Goal_Away - Hrosovsky P.(Munoz D.)', '83' Red_Card_Away - Thorstvedt K.', '88' Yellow_Away - Eiting C.']",21,26.12.2021,21:00,0.0,4.0,0.0,3.0,Away,5.5,4.6,1.54,1.54,True,True,False,True,False,False,False,False,8.0,1.0,7.0,34%,66%,7.0,15.0,2.0,10.0,108.0,117.0,20.0,43.0,4.0,2.0,1.0,3.0,,,1.0,9.0,1.0,5.0,,,6.0,2.0,15.0,8.0,1.0,1.0,https://www.flashscore.com/match/xYaork7o/#/match-summary/match-summary
serie-b,Pescara,Reggina,"['09' Yellow_Home - Dessena D.', '10' Yellow_Home - Maistro F.', '32' Yellow_Home - Rigoni N.', '39' Yellow_Away - Di Chiara G.', '45+1' Yellow_Away - Lakicevic I.', '73' Goal_Away - Denis G.(Lakicevic I.)', '79' Goal_Away - Montalto A.(Bianchi N.)', '83' Yellow_Away - Menez J.', '85' Yellow_Home - Busellato M.', '90+5' Yellow_Away - Dalle Mura C.']",21,06.02.2021,14:00,0.0,2.0,0.0,0.0,Away,2.68,3.05,2.76,2.76,False,False,False,False,False,False,False,False,0.0,0.0,0.0,34%,66%,6.0,15.0,2.0,5.0,79.0,125.0,14.0,56.0,2.0,4.0,2.0,6.0,,,2.0,5.0,0.0,0.0,,,3.0,2.0,15.0,21.0,4.0,4.0,https://www.flashscore.com/match/ABZlxv43/#/match-summary/match-summary
fortuna-1-liga,Stal Mielec,Olimpia Grudziądz,"['36' Goal_Home - Tomasiewicz G.', '45' Goal_Home - Paluchowski A.', '52' Yellow_Home - Soljic J.', '59' Yellow_Away - Ocenas I.', '68' Yellow_Home - Bielak L.', '70' Yellow_Away - Handzlik K.', '85' Yellow_Away - Szywacz R.']",4,16.08.2019,19:39,2.0,0.0,3.0,0.0,Home,1.55,4.3,5.7,1.55,False,False,False,False,True,False,False,False,0.0,0.0,0.0,52%,48%,12.0,17.0,6.0,8.0,94.0,80.0,58.0,48.0,6.0,6.0,0.0,3.0,19.0,15.0,8.0,7.0,3.0,2.0,,,8.0,4.0,12.0,17.0,2.0,3.0,https://www.flashscore.com/match/GzBqINER/#/match-summary/match-summary
premier-league,Aston Villa,West Brom,"['09' Goal_Home - El-Ghazi A.(Penalty )', '23' Goal_Away - Pereira M.(Penalty )', '47' Own_Away - Mings T.()', '54' Yellow_Away - Gallagher C.(Podcięcie)', '77' Yellow_Away - Yokuslu O.(Podcięcie)', '90+2' Goal_Home - Davis K.']",33,25.04.2021,20:00,2.0,2.0,1.0,1.0,Draw,2.14,3.5,3.65,3.5,True,True,True,False,False,False,True,False,4.0,1.0,3.0,70%,30%,24.0,10.0,11.0,4.0,123.0,60.0,83.0,28.0,7.0,5.0,6.0,1.0,9.0,15.0,11.0,4.0,2.0,1.0,14.0,12.0,2.0,9.0,14.0,9.0,0.0,2.0,https://www.flashscore.com/match/COsOTNcS/#/match-summary/match-summary
serie-a,AC Milan,Torino,"['24' Yellow_Home - Pioli S.(Poza boiskiem)', '25' Goal_Home - Leao R.(Diaz B.)', '26' Yellow_Away - Rincon T.(Nadmierna ostrość)', '36' Goal_Home - Kessie F.(Penalty )', '38' Yellow_Home - Diaz B.(Podcięcie)', '41' Yellow_Home - Romagnoli A.(Podcięcie)', '45+2' Yellow_Home - Tonali S.(Podcięcie)', '65' Yellow_Home - Dalot D.(Podcięcie)', '80' Yellow_Home - Leao R.(Symulowanie)', '85' Yellow_Home - Calabria D.(Nadmierna ostrość)', '90+2' Yellow_Away - Segre J.(Nadmierna ostrość)']",17,09.01.2021,20:45,2.0,0.0,2.0,0.0,Home,1.78,3.85,4.8,1.78,False,False,False,False,False,False,False,False,5.0,0.0,5.0,54%,46%,8.0,8.0,4.0,4.0,74.0,55.0,34.0,24.0,2.0,1.0,2.0,3.0,16.0,23.0,7.0,5.0,1.0,1.0,,,4.0,2.0,22.0,15.0,6.0,2.0,https://www.flashscore.com/match/WnPFgFaK/#/match-summary/match-summary
ligue-2,Rodez,Pau FC,"['20' Yellow_Home - Leborgne J.', '45' Goal_Home - Buades L.(Obiang J.)', '52' Red_Card_Home - Żółta kartka / Leborgne J.', '55' Yellow_Away - Beusnard S.', '70' Yellow_Away - Batisse A.', '75' Red_Card_Away - Kouassi L.X.']",2,31.07.2021,19:00,1.0,0.0,2.0,0.0,Home,2.35,3.1,3.1,2.35,False,False,False,False,True,False,False,False,0.0,0.0,0.0,37%,63%,7.0,6.0,5.0,2.0,83.0,92.0,64.0,55.0,2.0,4.0,0.0,0.0,,,5.0,3.0,0.0,2.0,,,2.0,4.0,9.0,12.0,2.0,2.0,https://www.flashscore.com/match/QJmfrR4p/#/match-summary/match-summary
jupiler-league,Beerschot VA,KV Mechelen,"['34' Yellow_Home - Radic S.', '52' Goal_Home - Penalty Holzhauser R.(Penalty )', '81' Yellow_Home - Brogno L.', '90' Goal_Away - Walsh S.(Storm N.)', '90+4' Goal_Away - Druijf F.(Schoofs R.)']",26,14.02.2021,16:00,1.0,2.0,0.0,0.0,Away,4.0,3.77,1.92,1.92,True,False,False,False,False,False,False,True,1.0,3.0,-2.0,43%,57%,14.0,16.0,3.0,6.0,84.0,118.0,52.0,65.0,6.0,4.0,5.0,6.0,,,5.0,6.0,2.0,3.0,,,4.0,2.0,8.0,12.0,2.0,0.0,https://www.flashscore.com/match/QR5nHfoP/#/match-summary/match-summary
super-lig,Galatasaray,Antalyaspor,"['51' Red_Card_Home - Kilinc E.', '55' Yellow_Home - Marcao', '69' Yellow_Away - Fredy', '80' Yellow_Away - Ozmert H.', '81' Yellow_Home - Turan A.', '90+1' Yellow_Away - Gulum E.', '90+4' Yellow_Away - Bayrakdar G.']",16,02.01.2021,17:00,0.0,0.0,0.0,0.0,Draw,1.5,4.5,5.8,4.5,False,False,False,False,False,False,False,False,7.0,6.0,1.0,66%,34%,15.0,5.0,6.0,1.0,89.0,65.0,87.0,43.0,7.0,2.0,2.0,2.0,,,6.0,8.0,4.0,0.0,,,1.0,6.0,9.0,11.0,2.0,4.0,https://www.flashscore.com/match/OMuEaMDp/#/match-summary/match-summary
league-one,Plymouth,Fleetwood,"['11' Own_Home - Holgate H.()', '49' Yellow_Home - Opoku J.', '59' Yellow_Away - Grayson S.(Poza boiskiem)', '77' Yellow_Away - Finley S.', '90+1' Yellow_Away - Saunders H.']",29,13.02.2021,16:00,1.0,0.0,1.0,0.0,Home,2.5,3.25,2.64,2.5,False,False,False,False,False,False,False,False,0.0,0.0,0.0,53%,47%,14.0,11.0,3.0,2.0,80.0,93.0,48.0,32.0,6.0,7.0,5.0,2.0,,,6.0,4.0,2.0,5.0,,,2.0,2.0,8.0,10.0,1.0,2.0,https://www.flashscore.com/match/6aMbgp95/#/match-summary/match-summary
serie-b,Perugia,Pisa,"['28' Goal_Away - Puscas G.(Sibilli G.)', '48' Yellow_Home - Dell', '62' Yellow_Away - Hermannsson H.', '67' Goal_Home - Rosi A.', '88' Yellow_Home - Curado M.', '90+2' Yellow_Away - Torregrossa E.']",34,10.04.2022,18:00,1.0,1.0,0.0,1.0,Draw,2.46,3.0,3.15,3.0,False,False,False,False,False,False,False,False,0.0,0.0,0.0,58%,42%,27.0,9.0,9.0,1.0,101.0,93.0,61.0,41.0,10.0,4.0,8.0,4.0,,,13.0,3.0,1.0,2.0,,,0.0,8.0,10.0,19.0,2.0,2.0,https://www.flashscore.com/match/2XUeOs4L/#/match-summary/match-summary
bundesliga,SC Freiburg,RB Lipsk,"['41' Goal_Away - Nkunku C.(Poulsen Y.)', '52' Yellow_Home - Hofler N.(Przytrzymywanie)', '64' Goal_Away - Sorloth A.(Nkunku C.)', '75' Yellow_Away - Hwang Hee-Chan(Podcięcie)', '79' Goal_Away - Forsberg E.(Sorloth A.)']",24,06.03.2021,15:30,0.0,3.0,0.0,1.0,Away,5.0,3.9,1.7,1.7,True,False,False,False,False,False,False,False,3.0,6.0,-3.0,46%,54%,5.0,13.0,1.0,8.0,57.0,83.0,30.0,44.0,4.0,5.0,,,14.0,10.0,1.0,2.0,0.0,1.0,25.0,21.0,5.0,1.0,10.0,13.0,1.0,1.0,https://www.flashscore.com/match/CQn9bpBn/#/match-summary/match-summary
serie-b,Como,Lecce,"['02' Yellow_Away - Calabresi A.', '04' Goal_Home - Penalty Cerri A.(Penalty )', '13' Goal_Away - Listkowski M.(Gendrey V.)', '24' Yellow_Away - Hjulmand M.', '72' Yellow_Home - Ioannou N.', '75' Yellow_Away - Gallo A.', '86' Penalty_Missed_Away - Coda M.()']",21,05.02.2022,14:00,1.0,1.0,1.0,1.0,Draw,3.6,3.35,2.06,3.35,False,False,True,True,False,False,False,False,0.0,0.0,0.0,36%,64%,14.0,21.0,3.0,9.0,73.0,161.0,37.0,89.0,9.0,9.0,2.0,3.0,,,2.0,8.0,4.0,1.0,,,8.0,2.0,16.0,13.0,1.0,3.0,https://www.flashscore.com/match/U9snjHZl/#/match-summary/match-summary
eredivisie,Ajax,Cambuur,"['16' Goal_Home - Timber J.(Berghuis S.)', '19' Goal_Home - Berghuis S.(Tadic D.)', '29' Goal_Home - Mazraoui N.', '38' Goal_Home - Neres D.(Tadic D.)', '60' Goal_Home - Tadic D.', '64' Goal_Home - Daramy M.(Taylor K.)', '67' Goal_Home - Haller S.(Martinez L.)', '76' Goal_Home - Danilo(Neres D.)', '84' Goal_Home - Neres D.(Daramy M.)']",5,18.09.2021,20:00,9.0,0.0,4.0,0.0,Home,1.07,15.5,38.0,1.07,True,True,False,False,False,False,False,False,5.0,0.0,5.0,69%,31%,21.0,11.0,11.0,2.0,147.0,69.0,69.0,18.0,6.0,6.0,4.0,3.0,10.0,12.0,6.0,1.0,5.0,1.0,17.0,6.0,2.0,2.0,7.0,9.0,,,https://www.flashscore.com/match/MDL9LM3p/#/match-summary/match-summary
league-two,Exeter,Port Vale,"['36' Goal_Away - Wilson J.(Proctor J.)', '43' Yellow_Away - Martin A.', '45+1' Yellow_Away - Wilson J.', '45+3' Yellow_Home - Stubbs S.', '84' Yellow_Away - Stone A.']",46,07.05.2022,16:00,0.0,1.0,0.0,1.0,Away,2.18,3.15,3.35,3.35,False,False,False,False,False,False,False,False,0.0,0.0,0.0,61%,39%,17.0,6.0,3.0,2.0,149.0,84.0,73.0,20.0,6.0,2.0,8.0,2.0,6.0,8.0,12.0,2.0,0.0,1.0,32.0,27.0,1.0,3.0,11.0,7.0,1.0,3.0,https://www.flashscore.com/match/4zr1iPAI/#/match-summary/match-summary
eredivisie,Twente,Willem II,"['06' Goal_Home - Limnios D.', '24' Goal_Away - Nunnely C.(Wriedt K. O.)', '33' Yellow_Away - Kohn D. A.(Niesportowe zachowanie)', '33' Yellow_Home - Zerrouki R.(Niesportowe zachowanie)', '40' Yellow_Home - Sadilek M.(Nadmierna ostrość)', '45+2' Red_Card_Home - Żółta kartka / Zerrouki R.(Niesportowe zachowanie)', '52' Yellow_Away - Wriedt K. O.(Podcięcie)', '76' Red_Card_Away - Żółta kartka / Kohn D. A.(Podcięcie)']",9,17.10.2021,16:45,1.0,1.0,1.0,1.0,Draw,1.67,4.1,5.1,4.1,False,False,True,False,False,False,False,False,4.0,3.0,1.0,56%,44%,6.0,7.0,2.0,3.0,119.0,121.0,41.0,36.0,3.0,0.0,1.0,4.0,11.0,16.0,3.0,3.0,2.0,1.0,23.0,20.0,2.0,1.0,15.0,12.0,3.0,3.0,https://www.flashscore.com/match/pEmddRyP/#/match-summary/match-summary
serie-b,Venezia,Brescia,"['20' Yellow_Away - Chancellor J.', '27' Yellow_Home - Johnsen D.', '33' Goal_Away - Aye F.(Jagiełło F.)', '56' Yellow_Away - Van de Looi T.', '70' Yellow_Away - Bisoli D.', '70' Yellow_Home - Esposito Se.', '74' Yellow_Away - Papetti A.', '84' Red_Card_Home - Johnsen D.']",27,06.03.2021,16:00,0.0,1.0,0.0,1.0,Away,1.94,3.35,4.0,4.0,False,False,False,False,False,False,False,False,0.0,0.0,0.0,53%,47%,18.0,13.0,9.0,4.0,68.0,76.0,34.0,44.0,3.0,7.0,6.0,2.0,,,9.0,4.0,3.0,1.0,,,3.0,9.0,11.0,18.0,2.0,4.0,https://www.flashscore.com/match/Iuce2nuN/#/match-summary/match-summary
league-one,Peterborough,Doncaster,"['10' Goal_Home - Ward J.(Thompson N.)', '23' Goal_Home - Szmodics S.(Taylor J.)', '37' Goal_Away - Okenabirhie F.(Eyenga-Lokilo J.)', '44' Yellow_Away - Butler A.', '45+1' Yellow_Away - Smith M.', '47' Yellow_Home - Butler D.', '48' Yellow_Away - Eyenga-Lokilo J.', '49' Yellow_Home - Reed L.', '59' Goal_Away - Richards T.(Eyenga-Lokilo J.)', '90' Yellow_Home - Kent F.']",22,27.04.2021,20:45,2.0,2.0,2.0,1.0,Draw,2.25,3.25,2.93,3.25,True,True,True,False,False,False,False,False,0.0,0.0,0.0,60%,40%,18.0,12.0,9.0,6.0,122.0,87.0,63.0,31.0,8.0,5.0,1.0,1.0,14.0,16.0,7.0,3.0,2.0,0.0,22.0,23.0,4.0,7.0,14.0,14.0,3.0,3.0,https://www.flashscore.com/match/8fkmqoT7/#/match-summary/match-summary
premier-league,Manchester Utd,Liverpool,"['05' Goal_Away - Keita N.(Salah M.)', '13' Goal_Away - Diogo Jota(Alexander-Arnold T.)', '38' Goal_Away - Salah M.(Keita N.)', '41' Yellow_Home - Shaw L.(Faul)', '45+1' Yellow_Home - Ronaldo C.(Niesportowe zachowanie)', '45+3' Yellow_Home - Fred(Faul)', '45+5' Goal_Away - Salah M.(Diogo Jota)', '46' Yellow_Home - Fernandes B.(Nadmierna ostrość)', '50' Goal_Away - Salah M.(Henderson J.)', '53' Var_Home', '55' Yellow_Home - Maguire H.(Podcięcie)', '60' Red_Card_Home - Pogba P.(Podcięcie)', '86' Yellow_Home - Wan-Bissaka A.(Nadmierna ostrość)']",9,24.10.2021,17:30,0.0,5.0,0.0,4.0,Away,2.98,3.65,2.37,2.37,True,True,False,True,False,True,False,False,,,,37%,63%,12.0,19.0,4.0,8.0,78.0,147.0,34.0,40.0,6.0,5.0,2.0,6.0,9.0,17.0,6.0,3.0,7.0,0.0,12.0,10.0,3.0,4.0,10.0,8.0,6.0,0.0,https://www.flashscore.com/match/ve75FbQk/#/match-summary/match-summary
